1524981
/m/057zxm
/m/057zxm
Kate DiCamillo

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
10yearold 1
a 11
abandoned 1
about 3
act 1
after 1
alcoholic 1
also 3
always 1
an 1
and 4
animals 1
appreciate 1
battle 1
became 1
because 2
before 1
befriends 1
bit 1
block 1
buloni 1
candies 2
challenge 1
children 1
civil 1
claims 1
combination 1
deals 1
decided 1
died 1
dog 2
dump 1
encounters 2
even 1
family 1
father 2
favorite 1
filled 1
first 1
florida 1
for 4
fought 1
franny 1
from 2
gertrude 1
girl 1
gloria 1
go 1
great 1
greatgrandfather 1
griefstricken 1
guitar 1
has 1
havoc 1
he 7
her 6
hers 1
his 3
in 6
including 1
india 1
ing 1
ingredient 1
insorrow 1
inspiration 1
invented 1
is 8
it 2
itinerant 1
jail 1
just 1
librarian 1
life 2
like 1
littmus 1
live 1
lozenge 1
man 1
manager 1
meets 1
members 1
miss 1
mixed 1
mother 1
moved 1
much 1
name 1
named 2
names 1
naomi 2
now 1
of 7
on 2
opal 3
otis 3
park 1
parrot 1
past 1
people 1
pet 2
playing 1
plays 1
pound 1
preacher 1
remainder 1
return 1
rootbeer 1
sadness 1
save 1
scruffy 1
secret 1
shares 1
she 5
shop 2
shy 1
small 1
so 2
sometimes 1
south 1
stories 1
strawberry 1
street 1
supermarket 1
sweetness 1
symbolize 1
tale 1
tasted 1
ten 1
that 2
the 12
them 1
there 1
these 1
things 1
think 1
though 1
thus 1
to 7
town 2
trailer 1
upset 1
very 1
wanted 1
war 1
was 1
wealthy 1
when 1
while 2
who 4
whom 1
whose 1
winndixie 4
witch 1
with 3
woman 1
wreaking 1
years 1
