9553753
/m/02pjrlv
/m/02pjrlv
Carolyn Keene
1981
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
accidents 1
adversary 1
ancient 1
and 2
arizona 1
arrive 1
at 1
begins 1
being 1
bess 1
by 1
collection 1
determined 1
discover 1
dolls 1
elusive 1
fitness 1
for 2
from 1
future 1
george 1
ghost 1
her 2
hunts 1
in 1
is 2
kachina 1
mcguire 1
nancy 2
of 2
operating 1
precious 1
prevent 1
ranch 3
search 1
teaming 1
that 1
the 4
they 1
threatened 1
to 1
unexplained 1
up 1
when 1
who 1
with 1
