3736171
/m/09y3hn
/m/09y3hn
John Varley
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
2100 1
a 10
activate 1
after 1
agenda 1
alcoholfueled 1
alcoholic 1
alcoholism 1
all 2
almost 1
also 1
an 5
and 18
angeltitanide 1
anyway 1
apparently 2
arctic 1
are 4
arranges 2
as 8
attack 2
attempting 1
back 1
badly 1
barbed 1
be 4
bear 1
become 1
been 2
before 1
begin 1
being 3
beings 1
benefits 1
body 2
bored 1
brains 1
building 1
but 2
buzzbombs 1
by 3
cables 1
can 4
canvass 1
capture 1
carrying 1
children 1
chris 5
circumference 1
circumgaea 1
cirocco 11
climb 1
cold 1
come 1
companion 1
complete 1
confront 1
considerable 1
crazed 1
creatures 1
crew 1
crewmember 1
cured 1
cures 2
day 1
death 1
demon 1
dependent 1
destroy 1
destroys 1
die 1
dies 1
discontinuation 1
diseases 1
do 2
does 1
drove 1
due 1
during 1
earth 1
eggs 1
enduring 1
engines 1
enjoys 1
ensuring 1
entertainment 1
entire 1
epilepsy 1
episodes 1
events 1
eventually 2
example 1
expedition 1
finds 1
first 1
food 1
for 12
four 1
from 3
gaby 4
gaea 7
gene 1
get 1
gets 1
go 1
granted 1
gravity 1
great 1
group 1
grow 1
habitat 1
had 1
has 7
have 2
hazards 2
help 1
her 13
hereinafter 1
heroic 2
herself 2
hidden 1
high 1
higher 1
highway 1
hornpipe 1
host 1
hub 2
humanity 1
humans 1
implanted 1
impossible 1
in 11
include 1
including 2
injured 1
insane 1
intelligence 1
irretrievably 1
is 9
it 2
itself 2
jet 1
journey 1
kill 1
killing 1
latter 1
learn 1
leave 1
left 1
live 1
living 3
longer 1
looking 1
lost 1
love 1
made 1
major 1
manifests 1
meanwhile 1
member 1
members 1
miracle 1
moon 1
more 1
mother 1
movies 1
musters 1
ninefingered 1
no 1
noses 1
not 3
oblivion 1
of 15
old 1
on 5
once 1
one 2
only 5
or 1
order 1
out 3
overcome 1
overthrow 1
particular 1
people 2
perpetual 1
pilgrims 2
place 1
plauget 1
plotted 1
position 1
powers 1
pregnant 1
present 1
price 1
produce 1
projects 1
providing 1
psychotic 1
race 1
razorsharp 1
reality 1
reduces 1
regional 1
release 1
remaining 1
rescue 1
rescued 1
resignation 1
resigning 1
responsibility 1
return 1
rim 1
robin 5
round 1
ruled 1
saliva 1
see 1
separated 1
serves 1
set 1
sets 1
seventyfive 1
she 10
sits 1
slack 1
slowly 1
so 2
some 1
something 1
special 1
strain 1
strange 1
streams 1
such 2
suffers 1
suicide 1
supply 1
support 1
surface 2
survival 1
sycophants 1
taken 1
takes 1
talk 1
task 1
tend 1
than 2
that 4
the 38
their 2
them 4
then 2
they 8
this 2
threat 1
titan 1
titanide 2
titanides 5
to 22
told 1
transformation 1
trapped 1
travel 1
trek 1
trip 2
trying 1
turn 1
two 1
undergoes 1
underground 1
up 2
useful 1
using 1
valiha 2
want 1
war 1
watches 1
way 3
we 1
what 1
wheel 1
which 1
while 1
who 1
whom 1
will 1
wings 1
wishes 1
witches 1
with 6
wizard 4
years 1
youth 1
zones 1
