9289573
/m/02836x8
/m/02836x8
Tim Dorsey
2007
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
44 1
a 2
agent 1
ai 1
and 4
another 1
are 1
as 3
at 1
awakening 1
believe 1
brain 1
but 3
calling 1
caused 1
coleman 1
comebackby 1
coping 1
dead 1
decides 1
disturbing 1
does 1
doesnt 1
enjoying 1
events 1
every 1
eye 1
fact 1
first 1
follow 1
following 1
follows 1
for 2
force 1
freed 1
friend 1
from 1
full 1
goes 1
has 2
he 3
him 4
himself 1
his 1
hurricane 1
hurricanes 2
in 4
is 3
killer 1
killers 1
killing 1
killings 1
life 1
like 1
mahoney 1
make 1
many 1
minute 1
newly 1
of 3
on 1
others 1
people 1
possible 1
religious 1
season 1
serge 4
serial 2
snap 1
sporting 1
stop 1
storm 1
that 3
the 6
then 1
therapy 1
this 1
to 3
trying 1
turned 1
two 2
unfortunately 1
unstoppable 1
unusual 1
upstage 1
ways 1
with 1
wont 1
work 1
zeal 1
