84229
/m/0lghc
/m/0lghc
Andrew Greeley
1942
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
affected 1
aftermath 1
an 1
and 9
any 1
apparently 1
are 1
arranges 1
asks 1
at 1
athens 1
attended 1
banishes 1
banquet 2
based 1
be 2
because 1
become 1
believes 1
believing 1
big 1
book 1
both 1
breakdown 1
but 2
by 2
caligula 1
care 1
carrying 1
centurion 1
christian 1
city 1
command 1
crime 1
crucifixion 3
demetrius 5
diana 1
dice 1
drunken 1
during 2
effort 1
emperor 2
ends 1
escapes 1
executed 1
experiences 3
explores 1
faith 1
finally 1
first 1
fisherman 1
followers 1
following 1
follows 1
frees 1
gaius 1
gallio 1
garment 1
garrison 1
given 1
gives 1
greek 1
had 1
has 1
he 2
his 6
in 5
innate 1
innocent 1
insists 1
is 2
jerusalem 1
jesus 8
judea 1
later 1
lives 1
many 1
marcellus 16
meets 1
mind 1
minoa 1
must 1
nervous 1
new 2
now 1
of 11
on 1
other 1
out 1
palestine 1
part 1
passover 1
path 1
people 1
pilate 1
pontius 1
port 1
power 1
prince 1
recuperate 1
regarding 1
reluctantly 1
report 1
restored 1
returns 3
rid 1
robe 6
roman 2
rome 3
seamless 1
see 1
sent 1
since 1
slave 1
soldiers 1
some 2
sort 1
southern 1
stance 1
subsequently 1
suffers 1
take 2
takes 1
that 2
the 19
their 1
then 2
through 1
throw 1
tiberius 1
to 13
took 1
touches 1
tribune 1
troubled 1
uncompromising 1
up 1
upon 1
urging 1
wear 1
wearing 1
where 1
who 2
whose 1
wife 1
will 1
wins 1
