3413460
/m/09b62z
/m/09b62z
Toni Morrison
1997-12-24
150 1
a 2
about 1
actions 1
addition 1
after 3
all 1
allblack 1
alternative 1
an 3
and 5
are 4
as 1
at 1
away 1
backstory 1
between 3
but 1
chapter 2
chapters 3
character 1
characters 2
clandestine 1
connections 1
connie 1
consolata 1
convent 3
crucial 1
differences 1
divine 1
each 1
events 1
female 1
flashbacks 1
focus 1
former 1
founded 1
from 1
gender 1
gigi 1
grace 1
group 1
highlights 1
history 1
in 5
includes 1
lived 1
lone 1
mavis 1
men 1
miles 1
named 2
narration 1
not 1
novel 2
of 6
oklahoma 1
on 1
opening 1
other 1
pallas 1
pat 1
patriarchal 1
patricia 1
portrays 1
provide 1
receive 2
rigidity 1
ruby 1
savemarie 1
seneca 1
serves 1
seventeen 1
simply 1
some 1
story 1
tells 1
tension 1
the 28
these 1
titular 1
to 3
town 3
townsmen 2
townswomen 2
voice 1
ways 1
which 1
who 2
women 6
