23541613
/m/06wb8c9
/m/06wb8c9
Lloyd Alexander
1978
{"/m/01hmnh": "Fantasy"}
a 3
abadan 1
after 1
and 5
arrival 1
as 2
at 1
attempts 1
being 2
but 1
city 1
control 1
days 1
discovers 1
doing 1
eating 1
enjoying 1
enjoys 1
escapes 1
finds 1
first 1
flee 1
food 1
for 1
forced 1
from 1
girl 1
good 1
grand 1
he 3
help 1
himself 1
his 6
in 1
is 3
kasha 4
king 2
kingdom 1
lavish 1
laws 1
life 1
little 1
magic 1
meets 1
mirza 1
more 1
of 5
on 1
opposition 1
palace 1
participating 1
people 1
playing 1
policies 1
possible 1
pranks 1
proclaimed 1
public 1
royal 1
royalty 1
shirazan 1
show 1
shugdad 1
slave 1
soon 2
spends 1
strange 1
strong 1
surroundings 1
take 1
than 1
that 1
the 5
there 1
to 5
transported 1
upon 1
versifier 1
vizier 1
when 1
with 2
work 1
world 1
zarapetra 1
