3017205
/m/08kt4b
/m/08kt4b
Sheila Burnford
1961
10 1
11 1
300 2
a 22
able 1
about 1
across 1
addition 1
advanced 1
adventures 1
affection 1
after 3
age 1
all 2
almost 1
alone 1
also 1
an 6
and 25
animal 1
animals 7
are 3
arguably 1
as 2
at 1
bachelor 1
because 3
become 1
bert 1
best 1
between 1
birds 1
bit 1
blind 2
bodger 11
bold 1
bond 2
book 2
books 1
border 1
born 1
boroughcastle 1
brave 2
brigadier 1
brown 1
build 1
bull 1
but 1
by 3
care 3
caretaker 1
cat 2
catching 1
cats 3
ch 1
charm 1
children 3
college 1
collie 1
comes 1
companion 2
companions 1
consists 1
couple 1
crucial 1
daughter 1
day 1
deeply 1
despises 1
despite 2
determined 1
difficult 1
difficulty 1
diminished 1
discovers 1
does 2
doesnt 1
dog 2
dogs 4
domesticated 1
doors 1
doune 1
duck 1
earned 1
easily 1
eight 1
element 1
eleven 1
elizabeth 4
encounter 1
endure 1
england 1
english 1
equipped 1
every 1
eye 2
eyes 2
face 1
family 8
fare 1
farmer 1
father 2
feeling 1
felines 1
fight 1
fighter 1
fights 1
find 3
finnish 1
first 2
follow 1
fond 1
food 1
for 6
forward 2
friend 1
from 6
full 1
fur 2
give 1
go 1
godfather 2
gone 1
group 3
grown 1
guide 1
has 2
have 4
he 14
help 1
helvi 1
her 1
him 6
his 12
historical 1
hits 1
home 4
hostility 1
house 1
human 1
humans 2
humor 1
hunter 6
hunters 4
hunting 1
husband 1
immigrants 1
in 14
independent 1
infected 1
instincts 1
intense 1
irate 1
is 32
it 1
its 1
james 1
jim 3
john 6
joined 2
kitten 1
labrador 1
lack 2
leader 1
leave 2
leaves 1
lectures 1
left 3
like 1
liking 1
live 2
lives 1
longridge 6
loyal 3
luath 8
mackenzies 1
making 1
many 1
miles 2
months 1
more 1
most 4
mother 1
mouth 1
move 1
mr 1
mrs 3
must 1
name 1
natural 2
nearly 2
neighborhood 1
nell 1
no 1
now 1
nurmi 2
oakes 3
of 17
often 1
old 6
older 2
on 4
once 1
one 3
open 2
other 3
out 1
own 1
owners 2
owns 3
particularly 1
persevering 1
peter 2
pets 2
pinkish 1
place 1
point 1
poorly 1
porcupine 1
prime 1
probably 1
profession 1
provide 1
push 1
quills 1
reach 1
recent 1
redgold 1
rejoin 1
respect 1
results 1
sapphire 1
save 1
saving 1
scheduled 1
school 1
sealpont 1
seeking 1
senses 1
separated 2
series 1
set 1
several 3
shared 1
she 1
siamese 1
sicced 1
side 1
since 1
situations 1
slender 1
slight 1
small 3
snacks 1
special 1
spends 1
standing 1
stay 1
still 1
stone 1
strong 1
style 1
successfully 1
suffers 1
survival 1
survive 1
surviving 1
taken 1
takes 1
taking 1
tao 15
tenacious 1
terrier 1
terrorizing 1
testament 1
than 1
that 3
the 54
their 10
them 8
there 1
therefore 1
they 4
thinks 1
this 1
though 1
three 3
time 1
tint 1
tireless 1
tires 1
to 19
toward 1
towards 1
town 1
travels 2
tries 1
trip 2
try 1
two 4
unconscious 1
university 1
up 2
usually 1
varying 1
very 1
village 1
walking 1
walks 1
was 2
water 1
ways 1
week 1
when 4
whenever 1
where 1
while 2
white 1
who 4
whose 1
wife 1
wilderness 1
with 6
without 2
wounds 1
writer 1
wrote 1
year 3
years 1
young 1
