13328000
/m/03c1vqr
/m/03c1vqr
David Almond
2000
a 17
abandoned 1
able 2
aboard 1
according 1
actually 1
affair 1
affection 1
after 1
all 4
allow 1
allows 1
almost 1
along 1
an 2
and 38
angels 1
anna 1
another 1
appears 1
are 4
around 3
as 8
at 4
attempts 1
author 1
away 1
back 3
be 2
become 1
becomes 4
bed 1
beef 1
been 1
before 1
begins 1
behind 1
being 1
black 3
body 6
book 3
boxes 1
bribe 1
brief 1
bring 1
bringing 1
brothers 2
build 1
building 4
buried 1
businesses 1
but 4
by 2
bygone 1
cairns 2
call 1
can 1
careful 1
carr 2
carried 1
cellar 1
characters 1
child 2
children 5
childs 1
chocolates 1
city 1
claims 1
clay 2
close 1
come 5
comes 1
comfortable 1
coming 1
constantly 2
construction 1
contains 1
continue 1
corned 1
cries 1
damaged 2
dangerous 1
darkness 1
day 2
dead 2
death 1
decades 1
decides 1
decorated 1
deep 1
despair 1
despite 1
die 1
died 1
dies 1
dig 2
discover 1
discovers 2
distrustful 2
do 1
dockside 1
down 3
dug 2
dumpsters 1
earth 1
end 1
engulfed 1
enjoys 1
enraged 1
entire 1
erect 1
erin 11
erins 1
errin 4
escape 2
especially 1
even 1
eventually 1
every 1
evidence 1
explains 1
extraordinary 1
eyes 11
family 1
fastmoving 1
father 1
feels 1
figures 2
finally 1
find 1
first 2
flawed 1
float 1
for 5
foreign 1
frequently 1
friends 4
from 2
gets 1
girl 1
grampa 7
grampas 5
grief 1
griefstricken 1
ground 1
guides 1
gullane 1
halfhearted 1
has 4
he 12
heal 1
heaven 11
help 1
her 16
him 5
his 3
holes 1
home 3
hopes 1
however 1
huge 2
hurled 1
if 1
imagined 1
important 1
in 11
including 1
indeed 2
insist 1
insists 1
into 5
introduces 1
is 18
it 2
its 1
january 9
januarys 1
just 1
kidnap 1
lain 1
land 1
later 1
law 1
leave 3
leaving 1
left 1
life 3
live 1
lives 1
lost 2
lovely 2
makes 1
man 1
manage 1
many 4
maureen 2
maureens 1
may 1
middens 6
mine 1
miraculously 1
modern 1
molding 1
money 1
more 2
mother 5
mouse 6
mud 2
mummified 2
murder 1
must 1
my 2
mysteries 1
name 1
named 2
nearly 1
new 1
night 1
no 2
not 1
novel 1
now 1
of 19
often 1
old 4
on 3
once 1
one 3
or 1
orphaned 1
other 4
others 2
out 2
over 2
overcomes 1
own 1
part 1
particularly 1
person 1
pet 1
place 3
plastic 1
point 1
polluted 1
press 1
printing 1
raft 3
raisins 1
really 2
recorded 1
records 1
refers 1
refuse 1
reject 1
rescue 1
rescues 2
river 3
run 1
runningawayfriend 1
safety 1
sailor 1
saint 2
says 1
sees 1
sentence 1
she 5
shenanigans 1
ship 1
should 2
show 1
shows 1
sister 1
sisters 1
slip 1
small 1
snoop 1
snooping 1
solve 1
some 1
something 1
soul 1
sparkling 1
spirit 1
spiritually 1
squeak 2
stating 1
statues 1
still 1
stone 2
stories 1
story 2
strange 1
strengthens 1
superficial 1
suppressive 1
suspects 1
take 2
tear 1
tells 3
that 11
the 45
their 3
them 6
then 5
therapy 1
there 1
thesaint 1
these 1
they 11
thing 1
thinks 1
this 1
though 1
threatens 1
through 1
to 28
told 1
tolerant 1
toys 1
treasures 1
tries 2
true 1
two 1
uncover 1
up 1
vehicles 1
very 2
vindicated 1
vow 1
warning 1
was 3
waters 1
well 1
wellmeaning 1
when 5
where 4
which 2
whitegates 7
who 1
whoever 1
whom 2
wilson 1
wison 1
with 5
woman 1
work 1
worker 1
world 1
worry 1
writing 1
years 2
you 1
young 1
younger 1
