525035
/m/02lj6b
/m/02lj6b
The Onion
1999-03-23
12 1
120 1
120s 1
2 1
2000 1
43 1
a 3
abound 1
admits 1
ages 1
all 1
allowed 1
american 1
americans 1
an 2
and 8
angles 1
are 1
article 3
as 2
ascends 1
assassination 1
at 1
attack 1
attacks 1
before 1
beginning 1
being 1
beliefs 1
bonus 1
book 4
bottom 1
by 3
castro 1
christian 1
cia 1
coloniallyoccupied 1
commission 1
common 1
continued 1
corners 1
corporate 1
corporations 1
cynical 1
declares 1
democracy 1
described 1
describing 1
different 1
earth 1
encourages 1
eras 1
especially 1
events 1
example 2
f 1
fauxadvertisements 1
fever 1
fiction 1
fight 1
finally 1
followed 1
for 7
foreign 1
freemasons 1
from 3
gimmicks 1
granting 1
graphic 1
harbor 1
he 1
headed 1
headline 2
heaven 1
i 1
ii 1
in 7
including 1
inside 1
instance 1
into 1
is 2
its 1
jfk 1
john 1
kennedy 2
killing 1
large 1
later 1
lbj 1
listing 1
look 1
mafia 1
make 1
many 1
meaningless 1
merged 1
meteors 1
modernday 1
music 1
nanette 1
no 2
nonstate 1
of 5
often 1
oligarchy 1
omnicorp 1
on 4
one 1
order 1
over 1
page 1
pages 1
participate 1
past 1
pearl 1
perceptions 1
perspectives 1
policy 1
popcultural 1
prediction 1
president 1
print 1
proclaiming 1
prophecies 1
religious 1
respective 1
response 1
revisionist 1
right 1
safe 1
satirize 1
satirized 1
satirizes 1
sheet 1
shot 1
since 1
size 1
slain 1
small 1
smaller 1
social 1
states 1
stories 1
such 1
suffrage 1
takes 1
tea 1
teamsters 1
that 4
the 18
their 1
theories 1
this 1
times 1
to 6
top 1
trends 2
two 1
up 1
us 1
wa 2
war 2
warren 1
was 2
wilson 1
with 2
women 2
woodrow 1
world 3
written 1
y2k 1
year 2
