12763213
/m/02x3s6q
/m/02x3s6q
Ellis Avery
2008-01
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 4
adopted 1
affairs 1
after 1
alone 1
an 1
and 10
anything 1
around 1
as 2
aurelia 3
be 2
begins 1
both 1
but 2
by 1
century 1
ceremony 1
civil 1
death 1
devotes 1
doomed 1
face 1
failing 1
falling 1
family 3
feelings 1
few 1
finds 1
fire 1
for 1
fortunes 1
frenchamerican 1
girl 1
gradually 1
grows 1
her 5
herself 2
hides 1
house 1
household 1
in 6
intervention 1
is 2
it 1
its 1
japan 1
japanese 3
knowing 1
late 1
lost 1
love 2
marriage 1
missionary 1
mistress 2
mother 1
mount 1
need 1
never 2
new 1
nineteenth 1
of 5
only 1
outsider 1
own 1
realise 1
reciprocated 1
seem 1
set 1
she 3
story 1
subsequent 1
tea 2
teahouse 1
tensions 1
that 1
the 9
to 5
uncle 1
up 1
war 1
western 1
who 2
will 1
with 2
words 1
world 1
young 2
yukako 2
