5144721
/m/0d4vbl
/m/0d4vbl
Dino Buzzati
1940
a 2
an 1
and 6
are 1
arrives 1
attack 1
away 1
back 1
barbarian 1
beyond 1
by 1
can 1
career 1
chieftain 1
children 1
city 1
come 1
decades 1
desert 2
desire 1
desolate 1
dies 1
dismisses 1
drogo 5
except 1
existence 1
fellow 1
finally 1
finds 1
for 4
fort 2
fortress 1
friends 1
full 1
gets 1
giving 1
glory 1
great 1
had 1
has 2
have 1
he 3
him 1
his 6
home 1
horde 1
human 1
ill 1
in 6
inn 1
is 2
its 1
let 1
life 2
lifelong 1
live 1
lived 1
lives 1
lonely 1
long 1
married 1
meaning 1
need 1
new 1
nothing 1
noticing 1
novel 2
of 3
old 1
on 1
outpost 1
over 1
overlooking 1
pass 1
patient 1
plot 1
posted 1
prove 1
remote 1
rumored 1
soldier 1
soldiers 1
solidarity 1
spends 1
tartar 1
tartars 1
that 2
the 16
their 1
themes 1
to 2
usefulness 1
vigil 1
wait 1
waiting 1
war 1
watch 1
way 1
when 1
which 1
while 1
with 2
without 1
years 1
