6192339
/m/0fw1t0
/m/0fw1t0
Leo Tolstoy
1912
{"/m/02p0szs": "Historical fiction"}
a 19
ability 1
able 1
about 1
adjutant 1
after 5
again 2
against 3
agrees 1
although 1
amongst 1
an 4
and 37
another 1
antirussian 1
are 6
area 1
army 1
arrival 2
arrives 2
as 5
aside 1
at 7
attack 2
attacking 1
attempt 1
avdeyev 1
aware 1
away 1
awe 1
bargaining 1
battle 1
be 2
bearing 1
became 1
because 5
been 1
before 2
befriends 1
begin 2
begins 1
being 2
better 1
bit 1
blood 1
body 1
born 1
brother 4
bullet 1
bushes 1
but 3
by 5
calling 1
calls 1
capital 1
captured 1
caucasian 1
causing 1
chapter 1
character 1
chechens 3
chernyshov 1
child 1
childless 1
close 1
cloth 1
come 2
commander 3
comments 1
company 1
condescending 1
confrontation 1
contact 1
continue 1
control 1
cossacks 1
cross 1
cruelty 1
crushed 1
day 1
dead 1
death 1
decapitate 1
decides 1
declines 1
defeating 1
defendible 1
depicts 1
despite 1
dies 2
digresses 1
dimitriyevnacompanion 1
down 1
during 3
dying 1
early 1
eldest 1
emperor 2
ends 1
enjoy 1
enjoyment 1
escape 1
escaped 1
escort 1
eventually 5
explain 1
fall 1
falls 2
family 5
fascinated 1
fatal 1
father 1
field 1
fifteen 1
fifth 1
find 3
finds 1
fire 2
fires 1
first 2
five 1
flashes 1
flee 3
fleeing 1
followers 3
for 5
forces 1
fortify 1
fortress 8
forward 1
friend 1
from 1
gamzat 3
gather 1
gazmat 1
gets 1
getting 1
give 1
gives 1
goes 1
good 1
governorgenerals 1
group 1
guerrilla 1
had 3
hadji 4
happy 1
has 2
he 17
head 1
help 1
hes 1
hide 1
him 7
himself 1
his 38
history 1
holy 1
honest 1
hope 1
hopes 1
house 1
how 1
however 3
i 1
if 1
in 15
into 2
is 9
it 1
jealous 1
join 2
joined 2
jumps 1
karganov 1
khans 4
khunzakh 1
killed 3
killing 1
kills 1
last 1
launches 1
lead 1
leader 2
learn 1
learned 1
learns 1
length 1
lieutenant 2
lieutenants 1
life 1
living 1
local 1
location 1
lorismelikov 1
loyal 1
main 1
makes 1
making 1
man 4
mans 1
maria 2
marsh 1
meanwhile 1
meet 1
men 4
mentioning 1
military 1
more 2
morning 1
mother 2
mourns 1
moved 1
murat 16
muratcomments 1
murats 2
muridism 1
muslimsembarrasses 1
must 1
named 1
narrative 1
narrator 3
nature 1
neither 1
nicholas 1
nightingales 1
nor 1
occurs 1
of 34
officers 1
old 1
on 8
once 3
one 1
opens 1
orders 2
out 1
outside 2
over 2
own 1
perfect 1
petrukha 3
physique 1
place 1
plans 1
plugging 1
point 1
position 3
possibly 1
prefaces 1
pregnant 1
presence 1
present 1
prince 2
promise 1
prorussian 1
reader 1
realizing 1
refuge 1
refuses 1
regrets 1
remain 1
remains 1
replaces 1
reputation 1
return 1
royal 1
ruined 1
run 1
runs 1
russia 2
russian 3
russians 5
sado 1
save 1
saving 1
semyon 1
sent 1
separatist 1
separatists 1
severed 1
shamil 8
shamilthen 1
she 1
shook 1
shot 1
showing 1
sides 1
simply 1
since 1
singing 1
skirmish 1
slaughter 1
small 1
soldiers 6
some 5
somewhat 1
son 2
speak 1
spy 1
stationed 1
stay 2
still 1
stopped 1
story 6
struggle 1
subjects 1
succeed 1
succeeds 1
such 1
supporter 1
surround 1
symbol 1
taking 1
tell 2
tendency 1
tentatively 1
terrifying 1
that 2
the 68
their 2
themselves 1
then 2
there 1
they 7
think 1
this 2
thistle 2
throws 1
time 1
times 1
to 22
told 1
tolstoy 1
tool 1
towards 1
tricking 1
troops 1
trusted 1
tselmes 1
two 1
unable 1
unfortunately 1
until 1
up 2
upon 3
upright 1
usual 1
valiantly 1
victorious 1
village 2
villagers 1
vorontsov 1
vorontsovs 1
vortonsovs 1
vozdvizhenskaya 2
war 3
was 5
watch 1
well 1
were 1
wetnurse 1
when 3
which 2
while 2
who 6
wife 3
will 3
wins 1
with 13
women 1
worker 1
wounded 1
wounds 1
write 1
young 1
yusuf 1
