23364579
/m/06w3dc5
/m/06w3dc5
Alan Lawrence Sitomer
2005
{"/m/084s13": "Urban fiction"}
a 7
about 1
an 1
and 4
anderson 1
andre 6
are 1
article 2
asks 1
at 2
attacked 1
attacks 1
basketball 1
be 1
becoming 1
best 1
black 1
book 1
boss 1
by 1
cedric 1
cousin 1
dream 1
enough 1
ever 1
family 1
friend 1
friends 1
from 1
gang 1
girl 1
gwen 1
has 1
he 4
him 1
his 4
hospital 1
introduces 1
is 3
job 1
journalist 1
latino 1
left 1
life 2
loves 1
magazine 2
much 1
named 2
not 2
of 2
on 4
or 1
perfect 1
play 1
racism 1
racists 1
recover 1
secure 1
seems 1
sent 1
shawn 2
so 2
social 1
spends 1
summer 1
teenager 1
that 1
the 4
thinks 1
time 1
to 6
too 1
tries 1
until 1
violently 1
whether 1
while 1
white 1
who 1
will 1
with 1
wondering 1
work 1
working 2
write 1
