410932
/m/0251rv
/m/0251rv
Iris Murdoch
1978
{"/m/02xlf": "Fiction"}
a 4
abortive 1
adolescent 1
affair 1
after 1
against 1
age 1
all 1
allusions 1
almost 1
although 1
an 3
and 11
arrowby 2
as 3
at 2
attempting 1
back 1
becomes 1
begins 1
behind 1
by 4
central 1
chapters 1
characters 1
charles 1
coincidence 1
compassion 1
course 1
decides 1
director 1
disguises 1
dream 1
drive 1
dwell 1
egotism 1
elope 1
encounters 1
enjoyably 1
exposes 1
extraordinary 1
farcical 1
figure 1
filled 1
first 2
fitch 2
former 1
from 1
hartley 1
has 1
haunt 1
he 5
heart 1
her 6
him 1
his 7
house 1
how 1
human 1
i 4
idealizing 1
ideals 1
in 5
inability 1
into 1
is 5
it 1
its 1
jealousy 1
jumble 1
kidnapping 1
lack 1
landscape 1
left 1
look 1
looking 1
love 4
magic 1
manner 1
mary 1
memoirs 1
motivations 1
mrs 1
much 1
mull 1
murdoch 1
my 2
myth 1
not 2
novel 2
obsessed 1
obsessions 1
of 8
old 1
one 1
out 1
outside 1
over 2
own 3
persuade 1
played 1
playwright 1
present 1
read 1
reading 1
reality 1
recognise 1
rejection 1
relationship 1
rendered 1
romantic 1
sea 3
seclusion 1
see 1
seen 1
selfaggrandising 1
selfishness 1
selfobsessional 1
selfsatisfied 1
several 1
she 1
since 1
space 1
strange 1
tale 1
text 1
that 2
the 15
theatrical 1
there 1
they 1
to 8
totally 1
unrecognisable 1
vanity 1
vividly 1
was 1
while 1
who 1
whom 1
with 5
withdraw 1
world 3
write 1
yes 1
youth 1
