61506
/m/0gnkp
/m/0gnkp
Sinclair Lewis
1929
{"/m/05hgj": "Novel"}
125 1
127 1
a 17
abbey 1
able 1
accompany 1
across 3
act 1
addition 1
advancement 1
age 1
agree 1
allow 1
along 1
also 1
always 1
am 1
ambitious 1
ambles 1
america 1
american 2
an 7
and 18
are 3
arnold 1
as 8
at 1
atlantic 1
attempt 1
attractions 1
austria 1
automobile 2
back 3
backstory 1
baedeker 1
be 2
beautiful 1
become 1
beginning 1
begins 1
berlin 1
between 1
board 1
book 3
both 1
breaking 1
britain 1
builds 1
business 1
busy 1
but 2
by 2
calls 1
can 1
care 1
cathedral 1
caught 1
challenge 1
character 1
characters 1
choose 1
clearly 1
clyde 1
college 1
comes 1
company 3
competitor 1
concludes 1
continental 1
continue 1
conviction 2
cope 1
cortright 1
countryside 1
courtship 1
crisscrosses 1
cross 1
crowd 1
dame 1
days 1
decides 1
depart 1
descriptions 1
designer 1
detailed 1
different 2
directions 1
dissatisfied 1
do 1
dodsworth 4
due 1
edith 3
end 1
engages 1
england 1
epiphany 1
europe 8
eventually 1
everything 1
expatriate 2
expatriates 1
experience 1
extensive 2
facing 1
falls 2
far 2
fear 1
few 1
fianc 1
fifty 1
film 1
first 1
follow 1
for 5
forced 1
former 1
fortunes 1
fortyone 1
fran 9
france 1
frances 1
frivolous 1
from 1
germany 1
get 1
getting 1
go 1
going 1
great 1
guide 1
had 2
hand 2
happens 1
has 3
have 1
haven 1
he 10
her 6
here 1
herself 1
him 2
his 16
historic 1
hits 1
hometown 1
however 1
hungary 1
in 25
includes 1
indecent 1
independent 1
innovative 1
into 1
invited 1
is 9
israel 1
italy 1
join 1
joins 1
journeys 1
just 1
known 1
kurt 1
lakes 1
land 1
larger 1
last 1
late 2
later 2
leave 1
leaves 1
leisurely 1
less 1
lewis 2
life 3
lifestyles 2
liner 1
live 1
lockert 2
london 1
looking 1
lost 1
love 2
made 1
main 1
major 1
man 2
manufacturing 1
marco 1
marriage 3
married 1
meet 1
meets 2
midwestern 1
months 2
montreux 1
more 1
motivated 1
motivations 1
motor 1
naples 1
near 1
new 6
next 2
not 2
notre 1
novel 2
obersdorf 1
ocean 1
of 12
off 1
old 1
on 10
once 1
only 1
out 1
own 2
palace 1
paris 3
passing 1
permanently 1
persuades 1
piazza 1
picked 1
plants 1
plays 1
point 1
proposal 1
prove 1
provides 1
purpose 2
pursued 1
pursuits 1
quickly 1
quite 1
rare 1
real 1
recently 1
red 1
relied 1
retirement 2
reunion 1
revelation 1
romance 1
run 1
sam 9
samual 1
san 1
sanssouci 1
sees 1
selfassured 1
selfconfident 1
selling 1
set 1
sets 1
she 5
ship 1
sights 1
sightseeing 1
significant 1
significantly 1
sites 1
situation 1
small 1
social 1
socialite 1
socialites 1
sold 1
some 1
soon 2
spain 1
spends 1
stays 1
steam 1
stop 1
strained 1
strange 1
stranger 1
stresa 1
succeeded 1
success 1
successful 1
such 1
summer 1
take 1
takes 1
target 1
than 1
that 2
the 26
their 7
they 7
three 1
to 29
together 1
touring 1
tourist 2
tours 1
town 1
travels 2
trip 2
true 1
two 1
until 1
up 4
upon 1
vanity 1
vastly 1
venice 2
vicinity 1
village 1
visit 4
visits 1
voelker 1
von 1
voyage 1
wanted 1
wants 1
wedding 1
weekend 1
wellknown 1
westminister 1
what 1
when 4
where 2
whereas 1
while 3
who 2
widow 1
wife 4
winnemac 1
winning 1
with 11
world 1
year 1
york 2
young 2
youth 1
zenith 3
