7144594
/m/0h6l4h
/m/0h6l4h
Katherine Kurtz
1981
17 2
18 1
a 17
ability 2
able 1
about 2
accept 2
accidentally 1
accompanied 1
accordingly 1
actions 1
actively 1
additionally 3
adept 1
admit 1
advantage 1
advice 1
after 3
again 1
against 1
agrees 1
ailing 1
alister 3
all 5
allies 1
almost 1
aloud 1
alroy 3
also 1
although 4
amazed 1
ambitious 1
an 4
and 41
ansel 4
antideryni 1
any 1
approaches 1
approaching 1
archbishop 5
are 10
arms 1
arrest 1
as 10
asks 2
assembled 1
assist 1
at 3
attack 2
attacked 2
attempt 4
attempting 1
attempts 2
attend 1
banning 1
barbarous 1
be 6
been 1
before 1
begin 2
beginning 1
begins 1
believes 1
beneficial 1
bestow 1
between 2
bid 1
birth 1
bishop 2
bishops 4
bleeding 1
blessing 1
block 2
blocking 1
bloody 1
body 1
boy 1
brothers 1
burned 2
but 4
by 9
camber 25
camberian 1
campaign 2
capture 1
cast 1
castle 2
cathedral 1
choose 2
christmas 1
cinhil 11
clerics 1
close 1
collapses 1
colleague 1
coming 1
completely 1
concerns 1
conditions 1
confrontation 1
continue 1
control 1
convinces 1
coronation 1
council 5
court 3
culdi 1
cullen 3
curia 2
curiosity 1
dalcara 1
dangerous 1
daughter 1
davin 1
day 2
dead 3
deadlocked 1
death 6
deaths 1
decade 1
decide 1
decides 1
declared 1
deeply 1
defending 1
deryni 22
desperate 1
despite 2
destruction 1
details 1
deteriorate 1
dies 2
disaster 1
discover 2
discovers 2
discovery 3
discusses 1
distrust 1
doctrines 1
does 1
doing 1
drugs 1
due 1
during 1
dying 2
earl 2
earlier 1
early 1
ebor 1
eldest 2
elected 2
election 1
elude 1
embark 1
enable 1
ends 1
enthroned 1
entitled 1
equally 1
erupt 1
escape 2
estates 1
evade 1
evaine 9
events 1
eventually 1
extremely 1
fact 1
family 2
fast 1
father 2
fatherinlaw 1
fearful 1
feeling 1
fellow 1
fight 1
final 1
finally 4
first 2
flee 2
following 2
for 10
forbidding 1
forced 2
forces 2
fourteen 1
friendship 1
from 3
gave 1
gaze 1
gives 1
grandson 1
gregory 3
group 2
guise 2
gwynedd 3
haldane 3
hands 1
has 4
have 1
having 1
he 7
healer 2
heir 1
her 5
heretic 2
him 5
himself 1
his 21
holding 1
hostile 1
houses 2
however 2
hubert 4
human 3
humans 1
husband 1
identity 1
if 1
immediately 2
in 13
incident 1
including 1
incognito 1
increasingly 1
infiltrate 1
initially 1
injured 1
injuries 1
innate 1
insights 1
into 1
is 19
itself 1
jaffray 3
january 2
javan 3
jebediah 4
jerusha 1
joram 5
kept 1
killed 1
kindly 1
king 6
kingdom 2
knows 1
labor 1
land 1
lands 1
largely 1
late 1
later 1
laws 1
learns 1
leave 1
legendary 1
lies 1
life 1
live 1
lives 1
living 2
lord 2
lords 2
macinnis 1
macrorie 6
magical 1
make 2
making 1
man 1
manage 2
many 4
may 2
meanwhile 1
meeting 1
meets 1
members 3
memories 1
men 1
michaelines 1
might 1
militant 1
minority 1
mirroring 1
misgivings 1
move 1
much 1
murdered 1
mutilated 1
nearly 1
nephew 1
never 1
new 4
night 3
no 2
nobles 1
nomination 1
nonetheless 3
normal 1
not 4
notice 1
novel 1
occupants 1
october 1
odd 1
of 36
office 1
on 4
once 1
one 2
oneill 1
only 2
open 1
or 1
order 2
other 2
outlawed 1
overcome 1
own 2
pair 1
passed 1
past 2
peace 1
people 2
perform 1
persecutions 2
personal 1
plan 1
planning 1
ponders 1
power 1
powers 9
premature 1
press 1
priesthood 1
primate 2
prince 3
prominent 1
proposal 1
provide 1
pursuit 1
quickly 3
races 1
rage 1
reach 1
reached 1
read 1
realizes 1
recognized 1
refuse 1
regency 2
regents 10
reign 1
release 1
religious 4
remain 1
remember 1
remembering 1
removed 1
rendezvous 1
resign 1
results 1
retrieve 1
return 1
revoked 1
rhys 10
ritual 4
roughly 1
routed 1
royal 2
ruthless 1
safety 2
sainthood 1
same 1
savagely 1
save 1
scene 1
second 1
secret 2
seeks 1
selection 1
send 1
sentenced 1
serve 1
serving 1
several 2
shape 1
she 2
shocked 1
shortly 1
sickly 1
slain 1
snow 1
so 1
some 3
son 5
sons 1
soon 8
sorely 1
span 1
spared 1
spell 2
spurring 1
standoff 1
still 1
strain 1
stunned 2
successful 1
successor 1
succumbs 1
such 1
suggests 1
summons 1
supposedly 1
suppression 1
survive 1
tavis 5
tend 1
tending 1
tense 1
that 10
the 78
their 12
themselves 1
then 1
there 1
they 7
three 1
throne 1
throughout 3
thuryn 2
time 2
to 58
too 2
travel 1
travels 1
treat 2
truly 1
trurill 1
truth 2
twelveyearold 1
unable 3
under 1
unwilling 1
upon 1
uprising 1
valoret 4
vote 1
wage 1
want 1
war 1
warn 2
waste 1
way 1
weakened 1
well 1
when 1
which 1
while 3
who 2
whole 1
wife 1
will 4
with 7
wonder 1
wounded 1
wounds 1
year 2
years 1
