5575042
/m/0dt9rc
/m/0dt9rc
Max Brooks
2006-09-12
{"/m/02ql9": "Epistolary novel", "/m/06n90": "Science Fiction", "/m/098tmk": "War novel", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02psyd2": "Zombies in popular culture", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/06nbt": "Satire", "/m/09kqc": "Humour"}
11 1
a 22
abandoned 1
aboard 1
across 1
active 1
activities 1
adopt 1
adopts 1
africa 2
after 5
agent 1
alive 1
allowing 1
alluded 1
also 1
although 2
america 3
american 1
an 3
and 29
animal 1
antitank 1
arctic 1
are 6
areas 2
argues 1
army 1
as 9
at 1
attempts 2
attention 1
automatic 1
awed 1
ballistic 1
banking 1
be 3
become 3
becomes 1
been 4
before 2
begins 2
bitten 1
black 1
borders 1
boundaries 1
boy 1
brings 1
brink 2
brooks 1
brought 1
brushfire 1
bunkers 1
but 2
by 10
calls 1
campaign 1
can 1
canada 1
canadian 1
cant 1
capital 1
challenges 1
china 2
chinese 3
city 2
civil 1
civilians 1
civilization 1
cleared 1
close 1
closing 1
coast 1
cold 3
collapse 2
commission 1
communist 1
complete 1
completely 2
concocts 1
conference 1
contain 2
continent 1
countries 2
country 2
created 1
crisis 1
crosses 1
cuba 1
dam 1
dead 1
deal 1
defeat 1
defeats 1
defense 1
democracy 1
democratic 1
demoralization 1
depopulated 1
describes 1
designed 1
desperate 1
destroy 2
destroying 1
destroys 1
determined 1
devastated 1
die 1
disappeared 1
disastrous 1
distract 1
does 1
drafted 1
drastic 1
each 1
earth 1
economy 1
effect 1
effort 1
eliminate 1
empty 1
end 1
ending 1
entire 1
environments 1
establishment 1
evacuation 1
everybody 1
example 1
exapartheid 1
except 1
expansionist 1
exposure 1
extinction 1
fall 1
false 1
fields 1
fighting 1
finally 1
fire 1
firing 1
flee 1
floor 1
flow 1
focus 1
following 3
for 1
force 1
forces 1
foreign 1
forever 1
formation 1
fraudulently 1
freed 1
freeze 1
from 4
frozen 1
geopolitical 1
go 1
gorges 1
government 4
governments 1
great 1
groups 1
hand 1
has 5
have 6
hawaii 1
he 1
head 2
heads 1
heavily 1
held 1
highprofile 1
history 1
home 1
honolulu 1
hordes 2
hosts 1
human 2
humans 1
iceland 1
if 2
in 11
including 1
indicate 1
infection 3
infested 1
initial 1
initiating 1
instincts 1
international 1
interviews 1
into 1
involved 1
involving 1
iran 1
iranian 1
is 14
islands 1
israel 1
it 1
its 2
itself 1
japanese 1
jews 1
kept 1
kill 1
killed 1
known 1
korea 1
landscape 1
large 2
lead 1
leaders 1
leadership 1
leaves 1
lines 1
little 1
live 1
living 1
lobo 1
lobotomizer 1
many 2
marauding 1
market 1
marketed 1
mask 1
meet 1
military 4
million 1
millions 1
missiles 1
mobility 1
morale 1
most 4
mountains 1
much 1
multipurpose 1
mutinying 1
nation 1
nations 2
nationwide 1
natural 1
navy 1
never 1
new 2
no 2
north 3
northern 1
northsouth 1
not 1
now 1
nuclear 1
obsolete 1
ocean 1
of 31
off 1
offensive 1
official 2
on 7
only 3
or 4
oral 1
organ 1
origin 1
other 3
out 1
outbreak 1
outbreaks 1
outposts 1
outside 1
overall 1
overrun 1
own 1
pakistan 1
pakistani 1
palestinians 1
pandemic 3
panic 1
patient 1
paul 1
people 1
period 1
physically 1
placebo 1
plague 2
plan 2
political 1
populace 1
populated 1
population 2
postwar 1
prepare 1
president 1
presumed 1
problem 1
psychologically 1
public 1
quarantine 1
rates 1
reclaimed 1
reclaiming 1
recognizes 1
recuperate 1
redeker 2
reduction 1
refugees 3
regroup 1
reinvents 1
religious 1
relocate 1
remaining 1
replaced 1
reports 1
restore 1
retrained 1
revolution 1
rifles 1
rocky 1
routed 1
rule 1
russia 1
safe 3
safer 1
sapped 1
scope 1
security 1
selfpreservation 1
semiautomatic 1
sense 1
series 1
seriously 1
sets 1
seven 1
several 1
shocked 1
shot 1
shots 1
similarly 1
slow 1
small 1
soldiers 1
solid 1
some 1
south 2
sparked 1
special 1
species 1
specific 1
spread 1
spreads 1
start 1
starts 1
starvation 1
state 1
states 2
steady 1
stem 1
still 1
stopped 1
story 1
stretching 1
submarine 1
submarinelaunched 1
successfully 1
such 1
suffer 1
surface 1
surrounded 1
survive 1
survived 1
survivors 1
systematically 1
tactics 1
taiwan 1
take 1
teams 1
teeters 1
television 1
ten 1
territory 1
that 2
thaw 1
the 77
their 2
theocracy 1
there 1
these 1
they 4
those 1
three 1
threeyear 1
thriving 1
through 2
tibet 1
time 1
to 27
tool 1
trade 1
transformed 1
troops 1
true 1
two 1
undead 1
underground 1
uninfected 1
united 4
unknown 2
unprepared 1
up 2
us 4
used 1
uses 1
vaccine 1
versions 1
wait 1
want 2
war 5
wars 1
way 1
weapons 2
west 1
when 1
where 2
whether 1
which 3
while 1
widespread 1
wildernesses 1
will 1
winter 1
with 3
within 1
world 6
worldwide 1
wounding 1
years 2
yonkers 1
york 2
young 1
z 1
zero 1
zombie 5
zombies 11
zone 1
zones 2
