5370670
/m/0dhvsm
/m/0dhvsm
Ian Rankin
2000
300 1
a 4
about 1
after 1
and 2
another 1
answers 1
as 1
astronomer 1
be 1
burned 1
by 1
called 1
charge 1
comes 1
death 1
detective 1
edinburgh 1
expected 1
find 1
fireplace 1
found 2
from 1
grieve 1
has 1
his 2
house 1
in 3
incorporated 1
inspector 1
instant 1
into 1
is 8
it 1
john 1
legend 1
liaison 1
more 1
msp 1
murder 1
murdered 1
new 2
of 2
old 1
on 1
opened 1
parliament 3
patch 1
poem 1
prospective 1
pupil 1
queensberry 1
rebus 2
recent 1
reopen 1
roddy 1
sarah 1
scottish 1
the 6
then 1
title 1
to 5
tour 1
up 1
victim 1
was 1
where 1
which 1
while 1
williams 1
years 1
youth 1
