15990347
/m/03qk4h8
/m/03qk4h8
Fuyumi Ono
1993-03
a 3
among 1
and 3
animal 1
as 1
back 1
born 1
brought 1
cant 1
choice 1
choose 1
discover 1
dozens 1
even 1
figure 1
for 1
form 1
from 1
frustrated 1
guidance 1
he 5
his 1
how 1
human 1
important 1
in 1
instincts 1
into 1
is 1
japan 1
king 1
kingdom 2
kirin 2
knowledge 1
latent 1
little 1
lives 1
make 1
men 1
more 1
must 1
of 3
or 1
out 1
overwhelmed 1
position 1
raised 1
right 1
seek 1
tai 2
taiki 2
that 1
the 6
to 3
told 1
transform 1
trust 1
when 1
where 1
who 2
will 2
with 1
within 1
women 1
