2391323
/m/078pz1
/m/078pz1
Edward Bellamy
1880
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1880 1
a 5
about 1
after 1
again 1
also 1
american 1
and 6
argument 1
awakes 1
based 1
been 1
between 1
book 2
brains 1
but 1
by 1
can 2
changed 1
committed 1
concerns 1
deed 2
description 1
develops 1
difference 1
discussion 1
doctor 2
dreamt 1
emphasises 1
eradicating 1
eyes 1
feel 1
for 1
forgiveness 1
from 1
good 1
guilt 3
guilty 2
has 4
he 1
his 3
if 2
in 4
information 1
introduce 1
is 5
its 1
judgement 1
life 2
long 1
loses 1
lover 2
meaning 1
mechanical 1
mechanism 1
memories 1
memory 1
mentioned 1
method 1
mores 1
my 1
not 1
notable 1
novel 1
of 9
on 1
one 5
ones 1
others 1
own 1
painful 1
paragraph 1
people 1
period 1
persuades 1
plot 1
process 3
protagonist 2
reading 1
realizes 1
recent 1
remorse 2
remove 1
rival 1
seduced 1
she 2
since 1
smalltown 1
so 1
still 2
suggests 1
suicide 1
that 4
the 16
they 1
this 1
time 1
title 1
to 2
transformed 1
try 1
until 1
vivid 1
who 1
