7904136
/m/026jglf
/m/026jglf
Chris D'Lacey
2003-10-01
00 1
11yearold 1
a 53
ability 1
about 6
according 1
africa 2
african 1
after 4
aftermath 1
ages 1
albino 1
alias 1
all 1
allied 1
allow 1
also 8
always 2
an 8
ancestor 3
and 60
animals 1
appears 1
arctic 3
are 2
as 2
asks 1
asleep 1
assignment 1
at 3
aunty 1
away 1
baby 6
back 1
bacon 1
bag 1
be 3
bear 5
bearcomes 1
bears 2
become 3
becomes 3
becoming 1
before 1
begins 1
behind 1
believes 1
bergstrom 6
bewitched 1
bewitches 1
blessing 1
blood 1
boards 1
bonnington 1
book 10
born 1
both 1
box 1
boy 2
branded 1
breaks 2
bring 1
bronze 1
bursts 1
but 4
by 4
called 2
calls 1
came 2
can 3
car 1
caries 1
cat 1
caught 2
character 2
child 1
class 1
clay 3
clean 1
cleaning 1
clock 1
college 3
come 1
comes 4
computer 1
conjures 1
connection 1
contact 1
container 1
conversation 1
couple 1
craft 1
curious 2
curse 1
daughter 2
david 27
davids 3
deal 1
decides 1
den 2
descendant 2
desendent 1
devious 1
discover 1
doesnt 1
doing 1
door 1
down 1
dr 2
dragon 24
dragons 7
dreaming 1
drinking 1
drive 1
earlier 1
egg 1
elizabeth 1
email 1
enchants 1
encourages 1
end 1
enjoys 1
evil 1
extra 1
fair 1
falls 2
fantastic 1
far 1
father 1
feeling 1
few 1
fighting 1
figure 1
find 4
finds 2
fire 6
first 5
fist 1
flesh 1
flies 1
floor 1
follow 1
for 5
form 1
formed 1
free 1
freezer 1
from 4
frustrated 1
full 2
fuses 1
gadzooks 5
game 1
gawain 7
ges 1
gets 3
ghost 1
girl 3
girlfriend 5
give 1
gives 2
goes 5
going 2
goth 2
grace 1
great 2
gretel 3
greth 5
grockle 5
gruffen 4
guard 1
guinevere 5
gwendolen 5
gwilanna 6
gwillan 1
gwillana 3
gwillanauntil 1
gwyneth 1
hamza 1
hands 1
has 9
have 3
having 2
he 25
hedgehog 1
hedgehogs 1
help 1
helped 1
helping 1
helps 1
henry 2
her 11
him 14
his 11
hold 1
home 1
human 1
ice 1
icefire 1
if 2
important 1
in 25
information 1
ingavar 1
inherits 1
intended 1
interest 1
into 2
is 36
island 1
it 12
ithe 1
its 1
job 2
just 1
keeps 1
kindled 1
known 1
knows 1
landlady 1
last 1
late 1
later 5
learns 1
lecture 1
left 2
legendary 1
life 1
like 2
listening 1
lives 1
liz 12
long 1
looking 1
looks 1
lorel 3
loud 1
love 2
loves 1
lucy 7
m 1
made 1
main 1
make 3
maker 2
makes 1
making 2
mark 2
markings 1
martindale 4
may 1
meeting 1
melted 1
mesmerized 1
message 1
mischief 1
mischievous 1
mohamed 1
mom 1
mother 1
mouth 1
move 1
moves 1
mysterious 1
name 4
named 4
near 1
neighbor 1
new 2
next 1
no 1
none 1
not 4
nouh 1
now 1
nutbeast 1
of 29
offers 1
office 1
on 8
one 4
only 1
oomara 2
or 3
original 1
originally 2
out 5
over 2
pad 1
part 1
party 1
passes 1
past 1
path 1
pennykettle 5
pennykettles 1
people 1
pick 2
piece 2
plants 1
playing 1
plays 1
polar 6
potions 1
pounded 1
powerful 1
presence 1
prize 1
professor 1
publish 2
published 1
publishing 1
puffler 1
pushes 1
puts 2
ragnar 5
rain 1
rather 1
reads 2
real 1
reserve 1
reviling 2
roared 1
room 3
said 2
saves 1
saying 1
says 7
saysyou 1
scars 1
scrubbley 1
seem 1
seems 1
sees 2
series 1
servant 1
share 1
she 18
short 1
show 1
shows 1
sibyl 3
since 1
skills 1
small 1
snigger 2
snow 2
snowball 1
snowman 1
so 3
some 3
something 1
son 1
sophie 6
special 2
spell 1
spikey 1
squirrels 2
stay 1
staying 1
stone 1
stories 2
story 3
strongly 1
stuck 1
student 1
stuff 1
supposed 1
suzanna 5
tag 1
takes 1
talisman 1
talks 1
tear 4
tell 1
teller 1
tells 4
tenant 1
that 11
the 68
their 2
them 2
then 5
they 4
things 2
thinking 1
thinks 1
this 4
thoran 1
thought 1
three 1
through 1
timeand 1
to 44
together 1
tooth 5
traps 1
traumatized 1
tries 5
trip 1
true 1
try 1
trying 1
turn 1
turns 1
under 2
universe 2
up 7
use 1
uses 1
using 2
very 2
walks 1
was 4
watering 1
way 1
ways 1
what 3
when 4
where 1
which 1
while 2
white 1
who 10
will 2
wish 4
wished 1
wishes 2
wishing 3
with 13
within 1
word 1
world 1
wouldnt 1
write 2
writes 1
writing 2
written 1
wrote 1
years 2
zanna 11
zookie 1
