2479295
/m/07gwf5
/m/07gwf5
Paul Davids

a 1
ackbar 1
admiral 1
advisors 1
after 3
alliance 1
although 2
and 7
as 3
barclay 1
be 1
becoming 1
bring 1
by 2
c3po 1
calamari 3
can 1
captain 3
cement 1
center 1
chance 1
claims 1
clues 1
contacts 1
darth 1
death 2
deep 1
demands 1
destroy 1
destroyed 1
destruction 1
discover 1
disguised 1
download 1
droids 1
dunwell 3
emperor 3
empire 3
find 3
followers 1
force 1
found 2
from 2
glove 6
grand 1
hand 1
has 1
he 6
head 1
heir 1
him 3
his 3
hissa 1
hoping 1
imperial 1
in 1
indestructible 1
inform 1
information 2
intelligence 1
introducing 1
is 3
kadann 1
kessel 2
killed 1
known 1
leader 2
left 1
lightning 1
luke 3
manages 1
moff 1
mon 3
much 1
network 1
new 2
next 1
no 1
obtaining 1
oceans 1
of 6
on 3
palpatine 1
parts 1
picking 1
planet 1
planetary 1
power 1
processing 1
producing 1
prophesied 1
prophet 1
r2d2 2
rebel 1
right 1
searching 1
second 1
seemingly 1
senate 1
senator 1
send 1
sends 1
ship 1
skywalker 1
so 2
son 1
spin 1
star 1
stop 1
supreme 1
swears 1
that 4
the 26
them 1
there 1
they 1
timothy 1
to 10
trick 1
trioculus 3
true 1
unable 1
up 1
vader 1
ways 1
wear 1
whaladon 1
whaling 1
whereabouts 1
who 1
will 1
with 1
without 1
would 1
