10032938
/m/02p_f8x
/m/02p_f8x
Greg Bear
1986
45 1
a 4
about 1
an 1
and 7
apprentice 1
arbitrate 1
arno 1
back 1
been 1
begins 1
between 1
bodies 1
by 1
completed 1
completing 1
concerto 1
contacted 1
continuing 1
discovered 1
estate 2
faculty 1
finds 1
for 1
from 1
go 1
goal 1
has 3
he 1
his 3
home 2
hopes 1
hotel 1
humans 1
in 3
infinity 1
inherited 1
is 4
kristine 1
left 1
living 1
magical 1
mahler 1
member 1
michael 1
moves 1
musical 1
nearby 1
news 1
now 1
of 1
opus 1
papers 1
parents 1
peace 1
pendeers 2
performing 1
perrin 5
pieces 1
searching 1
sidhe 2
story 1
strange 1
symphony 1
that 2
the 2
through 1
to 2
together 1
training 2
trains 1
tries 1
two 1
ucla 1
unfinished 1
waltiri 3
were 1
where 1
with 3
