322301
/m/01vn_x
/m/01vn_x
William Faulkner
1930
{"/m/0vgkd": "Black comedy", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
15 1
5 1
a 33
abandons 1
able 1
abort 1
abortion 3
actual 2
actually 1
addie 12
addies 6
advises 1
affair 2
after 1
again 1
against 1
all 1
allow 1
almost 1
already 1
although 1
an 4
and 38
animals 1
anse 7
anses 2
anxiety 1
apocryphal 1
are 2
around 1
arrival 1
arrive 1
as 4
associates 1
at 4
attack 1
attempt 1
away 1
backwards 1
barely 1
barn 3
be 5
become 1
bedroom 1
been 3
before 1
behind 1
beloved 1
betrayal 1
beyond 1
birth 1
book 1
bores 1
borrowing 1
bought 1
box 1
boy 1
bride 1
bridges 1
broken 4
builds 1
bundren 8
bundrens 7
buried 3
burning 1
burns 1
bury 2
burying 1
but 2
buy 4
buzzards 1
by 9
can 1
carefullydesigned 1
carpentry 1
case 1
cash 6
cashs 5
cast 1
caught 1
caused 1
cement 1
chapter 2
chapters 1
characters 1
child 1
children 3
chronology 1
claim 1
claims 1
cleaned 1
clear 1
coffin 11
combined 2
come 1
coming 1
commit 1
compels 1
complaining 1
complains 1
completes 1
complicated 1
conception 1
condition 1
confess 2
confession 1
continues 1
cora 1
corpse 1
counter 1
county 3
creates 1
cries 1
criminal 1
darl 11
darls 1
daughter 1
daughters 1
dawn 1
day 4
days 1
dead 3
death 3
deathbed 1
decides 1
delivery 1
dell 4
desire 1
dewey 4
die 1
dies 1
different 1
doctor 2
dollars 1
down 1
drag 1
dress 1
drowns 1
drug 4
due 1
dying 2
each 1
earlier 1
ends 1
equipment 1
events 1
ever 1
exchanging 1
expected 1
experience 1
face 2
fact 1
failing 1
faints 1
false 3
familial 1
family 9
far 1
farm 3
farmhand 1
father 1
faulkner 2
few 1
fictional 1
first 2
fish 1
fits 1
flared 1
flooded 1
flooding 1
following 2
follows 2
for 9
forced 1
ford 1
from 6
front 1
fulfill 1
funeral 1
generous 1
gillespie 2
give 1
given 1
go 1
god 1
good 1
gramophone 1
grave 1
great 1
greeted 1
had 1
has 6
have 4
he 10
heads 1
health 1
hears 1
held 1
help 2
helps 2
her 19
herself 1
him 3
himself 1
his 17
holes 1
home 3
honor 1
horror 1
horse 4
house 2
however 1
ill 1
in 17
incinerating 1
inclination 1
increases 1
insane 1
inside 2
instability 1
instead 1
institution 2
intending 1
intention 2
into 3
introduces 1
is 29
it 6
its 1
jackson 1
jefferson 3
jewel 11
jewels 2
job 1
journey 1
just 2
knocked 1
know 1
lafayette 1
lafe 2
land 1
later 1
lawsuit 1
lead 1
leading 2
learns 1
leave 2
led 1
left 1
leg 4
legitimate 1
lets 1
liaisons 1
lid 1
lies 1
life 2
lift 1
local 7
log 1
loveless 1
made 2
main 1
make 1
makeshift 2
man 1
manhandling 1
marriage 2
matriarch 1
meets 1
members 1
men 3
mental 3
minister 1
mission 2
mississippi 1
mixture 1
money 2
more 2
morning 1
mortgaging 1
mother 2
mothers 4
motivationsnoble 1
mottson 1
mourns 1
much 2
mules 2
my 1
nailed 1
named 2
narrated 2
narrates 1
neighbor 1
neighbors 1
new 4
next 1
night 2
nights 1
not 5
obligation 1
of 33
oldest 1
on 11
only 1
or 3
other 2
others 1
out 3
outside 1
over 5
overwhelmed 1
owned 1
pain 2
pair 1
part 1
perceived 1
pharmacist 1
pharmacy 1
placed 2
plan 1
poor 1
poorly 1
porch 1
pregnancy 1
pregnant 1
preparing 1
presence 1
pride 1
promise 1
proposition 1
purchase 1
purchased 1
puts 1
quest 1
rapidly 1
rather 1
react 1
realization 1
realizes 2
reassures 1
recalling 1
recent 1
referred 1
refuses 2
regard 1
reinjured 1
remembers 1
rendition 1
represents 1
request 1
rescue 1
rescues 1
residents 1
respect 1
rest 1
returns 1
revealed 1
riding 1
right 1
risks 1
river 2
riverbed 1
rivercrossing 1
rotting 1
same 1
sardonically 1
saving 2
search 1
secretly 1
section 1
seeing 1
sees 1
selfishto 1
sell 1
sense 1
service 1
services 1
set 3
sets 1
severe 1
sexual 2
shame 1
she 6
shortly 1
shovels 1
shut 1
sign 1
sincere 1
sing 1
singlehandedly 1
site 1
skeptical 1
skepticism 1
skills 1
sleep 1
so 2
some 2
son 3
songs 1
sons 1
soon 2
southern 1
speaking 1
spend 1
sports 1
stand 1
state 1
stay 1
stench 1
story 2
stray 1
sure 1
takes 1
talking 1
team 2
teeth 3
ten 1
tending 1
than 3
that 18
the 83
their 6
them 2
then 3
thereafter 1
they 1
this 6
though 1
thoughts 1
through 1
time 1
to 34
together 1
tools 1
town 6
trading 1
treat 1
tricks 1
tries 2
troubled 1
tull 3
tulls 1
turn 1
two 4
unbalanced 2
uncaring 1
unchristian 1
ungrateful 1
unwanted 1
unwrinkled 1
up 1
upsets 1
uses 1
using 1
vardaman 2
various 1
vernon 2
very 1
wagon 5
war 1
was 4
washed 1
way 1
wedding 1
what 1
when 3
where 2
whether 1
which 7
while 5
whitfield 2
who 8
whose 2
widely 1
wife 3
will 3
window 1
wish 2
with 14
without 1
woman 1
women 2
work 1
working 2
wreck 1
writer 1
yoknapatawpha 1
young 1
youngest 1
