1741662
/m/05sfw9
/m/05sfw9
William Wells Brown
1853
{"/m/05hgj": "Novel"}
184 1
a 14
abandons 1
accomplice 1
account 1
adventures 1
after 3
althesa 4
although 2
ambitious 1
an 2
and 18
antebellum 1
antislavery 1
are 3
arranges 1
as 4
attempt 1
based 1
becoming 1
being 1
birth 1
book 1
born 1
both 1
bridge 1
bright 1
but 1
by 6
canada 2
cannot 1
captured 1
catchers 1
child 1
clotel 8
commits 2
commonlaw 1
continues 1
craft 2
currer 5
daughter 2
daughters 5
dc 1
death 1
described 1
die 1
dies 2
dressing 1
dunkirk 1
ellen 3
emancipate 1
ends 1
enslave 1
enslaved 2
enslavement 1
escape 2
escapes 3
europe 1
eventually 2
father 1
fathered 1
fever 1
for 1
forces 1
free 1
french 1
from 2
gang 1
george 2
girls 1
gives 1
green 4
has 1
have 1
he 2
heartbreak 1
held 1
henry 1
her 10
him 1
his 3
history 1
horatio 2
in 8
includes 1
into 2
involved 1
is 5
jane 2
jefferson 2
jumping 1
later 1
legally 1
lightskinned 1
local 1
long 1
lover 1
man 3
marriage 1
marries 2
marry 1
mary 7
mixedrace 2
morton 2
mother 1
mr 1
mulatto 1
named 1
narrative 1
near 1
northerner 1
novel 1
of 4
ohio 1
on 2
other 1
owner 1
peck 1
pen 1
perilous 1
places 1
plays 1
politics 1
potomac 1
preacher 1
preparing 1
prison 1
purchased 2
purchases 1
pursued 1
related 1
relating 1
religion 1
remain 1
returns 1
reunite 1
richmond 1
river 1
sale 1
sell 1
servant 1
several 1
sexual 1
she 5
sister 1
slave 6
slavery 1
slaves 1
sold 2
subplots 1
suicide 2
surrounded 1
takes 2
ten 1
the 9
their 3
they 1
thomas 1
to 14
trade 1
trader 1
two 1
until 1
virginia 1
was 1
washington 1
white 5
who 2
whom 1
wife 2
william 2
with 4
woman 1
works 1
years 1
yellow 1
young 1
