1384122
/m/04y8q2
/m/04y8q2
Robin Hobb

a 9
actually 1
addictive 1
after 2
again 1
alliance 1
almost 1
also 2
and 7
anyone 2
appears 1
as 9
assassin 1
at 2
attempts 1
aware 1
badgerlock 1
barely 1
be 2
because 1
becomes 1
been 2
beloved 1
betrothe 1
between 1
bitter 1
body 1
both 2
but 3
by 1
candidate 1
castle 1
chade 2
civil 1
clutches 1
come 1
companions 1
conceived 1
control 1
cost 1
coterie 1
councillor 1
dangerous 1
dead 1
dear 1
death 1
decadent 1
declares 1
did 1
different 1
dragons 1
duchies 2
dutiful 8
each 1
earlier 1
elliania 2
encountered 1
end 1
ever 1
existed 1
faces 1
farseer 1
father 1
feels 1
fifteen 1
finally 1
fitz 6
fool 1
for 1
forge 1
fragile 1
from 2
golden 1
great 1
grieving 1
has 7
he 7
head 1
heir 1
her 1
higher 1
him 1
his 6
how 1
icefyre 1
imagined 1
in 4
including 1
interests 1
into 1
is 6
it 2
its 1
kettricken 2
knows 1
lands 1
last 1
lasting 1
leads 1
left 1
less 1
line 1
longterm 1
lord 2
machinations 1
maintaining 1
man 1
marriage 1
master 1
may 1
mentallychallenged 1
mentor 1
mistreatment 1
most 1
must 2
named 1
narcheska 1
new 3
nighteyes 2
noble 1
not 2
now 1
of 14
old 1
once 2
one 2
only 1
or 1
other 1
outislander 1
overeager 1
own 2
peace 2
piebald 1
piebalds 1
plans 1
political 1
pose 2
post 1
prince 2
princess 1
protected 1
protecting 1
qualities 1
queen 2
quest 1
rebels 1
red 1
reluctantly 1
rescuing 1
salvation 1
same 1
search 1
seek 1
servant 1
she 1
ship 1
simple 1
since 2
six 2
skill 7
skilled 1
skillmaster 1
slay 1
stakes 1
stays 1
stronger 1
succeeded 1
surrounding 1
suspicious 1
takes 1
task 1
taught 1
teach 1
teacher 1
teaches 1
temptations 1
than 3
that 3
the 38
these 1
thick 1
this 1
though 1
threat 1
threaten 1
throne 1
throw 1
time 1
to 14
tom 1
true 1
two 1
undertaking 1
unlikely 1
urging 1
use 2
users 1
using 1
verity 2
war 3
was 1
wed 1
well 1
what 1
wheels 2
will 1
wit 1
with 3
within 1
without 1
witpartner 1
witted 1
wolf 1
years 2
young 1
