4481878
/m/0c4wtd
/m/0c4wtd
Beatrix Potter
1908-07
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 10
about 2
ado 1
again 1
allow 1
along 1
always 1
an 2
and 11
appropriate 1
are 1
as 1
asks 1
at 3
away 3
back 1
be 1
begins 1
believes 1
black 1
bonnet 1
but 4
called 1
carried 1
carries 1
charming 1
chased 1
collect 1
collie 1
confiscates 1
curiously 1
dinner 1
discovers 1
distant 1
duck 2
ducklings 1
ducks 1
ears 1
eat 1
eggs 8
errand 2
escorted 1
event 1
farm 4
farmer 1
farmyard 1
feathers 1
filled 1
find 1
flies 1
for 1
found 1
four 1
fox 2
foxhound 1
foxhounds 1
foxywhiskered 1
from 2
gentleman 2
hatch 1
hatches 1
he 1
help 1
hens 1
her 11
herbs 1
herself 1
hide 1
hill 1
his 2
home 2
however 2
hungry 1
in 6
incubate 1
is 5
it 1
jemima 8
kep 3
kitchen 1
lay 1
lays 2
led 1
little 1
lost 1
make 1
makes 1
mark 1
meets 1
more 1
nest 2
nesting 1
never 1
of 2
off 1
omelette 1
once 1
onions 1
over 1
own 1
party 1
persuades 1
place 2
plan 1
poke 1
poor 1
prick 1
puddleduck 1
puppies 1
rescues 1
reveals 1
road 1
routinely 1
safe 1
sandycoloured 1
seasonings 1
seen 1
sees 1
sets 2
shawl 1
she 6
shed 2
sitters 1
spies 1
stuffing 1
successfully 1
suggests 1
tale 1
tears 1
telling 1
the 17
their 1
them 1
they 1
through 1
time 1
to 13
top 1
traditional 1
tries 1
tumbledown 1
two 1
until 1
used 2
waddles 1
wants 1
which 2
whiskers 1
wife 1
will 1
with 4
wood 1
