3935482
/m/0b7k3g
/m/0b7k3g
Alexander Cordell
1959-01
183 1
a 1
accurately 1
achieved 1
against 1
and 5
as 3
background 2
be 1
bestseller 1
book 1
but 2
chartism 1
chartist 1
clearly 1
coal 1
considerable 1
cordell 2
described 1
detail 1
die 1
draws 1
early 1
english 1
events 1
family 3
father 1
fight 1
first 1
for 1
hardship 1
he 1
his 2
historical 1
humanity 1
iestyn 1
in 4
industrial 1
iron 1
is 2
it 1
leads 1
life 2
like 2
masters 1
mortymer 1
movement 1
neighbours 1
newport 1
no 1
novel 2
of 7
off 1
on 1
other 1
positive 1
profoundly 1
protest 1
researched 1
revolts 1
rising 1
seeing 1
set 1
show 1
sometime 1
son 1
starting 2
status 1
story 1
successful 1
suffer 1
the 15
then 1
this 1
time 1
to 3
told 1
towards 1
trade 1
uk 1
unions 1
usa 1
wales 2
well 1
which 1
with 4
worthy 1
