6201274
/m/0fwh3_
/m/0fwh3_
Len Deighton

{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 6
after 1
agent 2
america 1
an 1
and 5
are 2
attempts 1
auction 1
back 1
be 1
been 1
berlin 1
bernard 4
book 1
both 1
by 2
clear 1
debriefing 2
double 1
drugs 1
east 2
eric 2
escape 2
events 1
eventually 1
finally 1
fiona 4
first 1
for 2
found 1
frank 1
from 2
germany 2
harrington 1
has 1
he 2
hiding 1
his 1
how 1
in 4
into 1
invited 1
is 8
it 3
killed 1
knew 1
london 1
long 1
made 1
meet 1
mission 1
not 1
novel 1
now 1
of 3
on 2
other 1
package 1
passport 1
pick 1
recalled 1
revealed 3
russian 1
samson 1
sent 1
series 1
side 1
sis 1
sister 1
sit 1
smuggling 1
soon 1
stamp 1
starts 1
stinnes 2
tessa 1
that 1
the 7
this 2
to 9
transported 1
undercover 1
up 1
uses 1
vienna 1
wall 1
where 1
whereupon 1
which 1
whom 1
wife 1
with 1
