523761
/m/02lbmb
/m/02lbmb
Tom Clancy

{"/m/01jfsb": "Thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
11 2
12 1
173 1
a 20
able 1
accelerate 1
access 1
accidentally 1
accusing 1
across 1
action 1
advisor 1
affair 1
after 3
against 2
agree 1
agrees 1
aid 1
aircraft 1
allowing 1
american 2
an 7
ancient 1
and 13
antagonists 1
arabia 1
are 5
as 8
assault 1
assembly 1
associates 1
assumes 1
at 3
attack 5
attacks 1
attempts 1
averted 1
averts 1
ayatollah 2
based 1
be 1
before 2
beheaded 1
berlin 2
betraying 1
between 2
bomb 4
book 1
both 1
bowl 2
breakdown 1
briefly 1
brother 1
buried 1
but 2
by 11
campaign 3
cannot 1
capitalist 1
captured 1
cathy 1
changes 1
chavez 1
churchill 1
city 2
clark 2
clarkmdashreveal 1
clever 1
codename 1
coincide 1
coincidentally 1
colorado 1
come 1
comes 1
commander 1
communicates 1
conflict 1
construct 1
contact 1
continue 1
corrupt 1
country 1
covert 1
crisis 1
days 1
deal 1
deceit 1
decision 1
defcon1 1
defend 1
defense 1
defusing 1
democratic 1
denver 1
destabilizing 1
destroy 1
destroyed 1
detonate 1
device 1
diplomatically 1
directly 1
discredit 2
disenfranchised 1
disguised 1
dissolution 1
do 1
domestic 1
domingo 1
down 1
downed 1
druze 1
due 1
during 2
east 5
eighteen 1
eliminate 1
elizabeth 1
elliott 3
end 1
endangered 1
enforcing 1
engaging 1
engineers 1
enhance 1
enlist 1
enraged 1
epigraphs 1
erase 1
error 1
everyone 1
exact 1
existence 1
expertise 1
exploiting 1
extramarital 1
failure 1
false 1
family 1
farmer 1
field 1
finds 1
first 1
fissile 1
fizzles 1
flag 1
for 4
forced 1
forces 2
fowler 4
friends 1
from 2
fromm 2
gains 1
german 2
germans 2
gift 2
goal 1
government 1
group 1
has 1
he 1
help 1
her 1
him 1
his 2
historical 1
holy 1
hope 2
hot 1
however 2
implicate 1
in 14
including 1
indirect 1
inspires 1
interesting 1
into 2
involved 1
involving 1
iran 1
iranian 1
is 13
israel 4
israeli 5
it 3
its 1
itself 2
jack 1
japanese 1
john 1
just 1
kill 1
killed 2
kippur 1
knows 1
last 1
later 2
leadership 1
learning 1
left 1
line 1
longer 1
looming 1
lost 3
manfred 1
mark 1
marriage 1
material 1
meant 1
meanwhile 1
mexican 1
mexico 1
middle 1
minute 1
moscow 1
mountains 1
national 1
needed 1
nervous 1
no 1
not 2
note 1
novel 2
nuclear 8
of 18
office 1
official 1
officials 1
on 3
operation 1
opts 1
order 1
orders 1
origin 1
over 1
own 1
owned 1
palestinian 1
palestinians 2
peace 2
people 1
pflp 1
physicist 1
pilot 1
plan 3
planned 1
plot 2
plutonium 2
police 1
prepare 1
presented 1
president 5
process 2
protester 1
punish 1
put 1
puts 1
qom 1
quote 1
reconstruct 1
reference 1
released 1
residence 1
resign 1
resigns 1
reunification 1
reveal 1
revenge 1
risk 1
riyadh 1
robert 1
romance 1
royal 1
rule 1
ryan 11
saudi 3
secret 1
secretary 2
security 1
seems 1
sequels 1
service 1
serving 1
shot 1
signaled 1
small 1
smear 1
so 1
socialism 1
soldiers 1
soon 1
soviet 5
special 1
start 1
state 2
states 4
status 1
strike 2
suffering 1
super 2
superpowers 1
support 1
supported 1
surprise 1
sword 2
swordsman 1
syria 1
tactical 1
terrorists 7
terroristsmdashunder 1
that 3
the 75
their 4
them 1
thermonuclear 1
they 2
this 1
thousands 1
title 2
to 26
together 1
torture 1
truth 1
turn 1
two 1
twoman 1
unable 1
unarmed 1
uncovering 1
union 3
united 4
until 1
uprising 1
use 1
using 2
vatican 1
vendetta 1
war 4
was 3
weapon 6
when 2
which 2
while 1
who 1
widowed 1
wife 1
will 2
winston 1
with 6
withdraw 1
without 1
work 1
world 1
years 1
yet 1
yom 1
