374508
/m/020vt6
/m/020vt6
Henrik Ibsen


a 14
accept 2
achievement 1
acknowledge 1
acquiesce 1
address 1
against 1
allies 1
alone 1
also 1
always 1
amongst 1
amount 1
an 1
and 13
anticipating 1
appreciate 1
are 3
as 4
at 2
authorities 1
baths 6
be 4
because 1
both 1
bring 1
brother 2
by 2
campaign 1
captain 1
causing 1
citizen 1
claims 1
closed 1
coastal 1
come 1
community 2
conflict 1
considerable 1
contaminating 1
cost 1
could 1
demagogues 1
democracy 1
denounced 1
denunciation 1
detailed 1
development 1
develops 1
difficult 1
discovers 1
discovery 1
dr 8
eagerly 1
easily 1
en 1
enemy 1
expecting 1
expects 1
explicitly 1
financial 1
finds 1
for 2
friends 1
from 2
get 1
given 1
great 2
greatest 1
had 1
has 1
he 4
him 1
himself 1
his 6
holds 1
horster 1
house 1
however 1
ibsen 1
illness 1
important 1
in 7
includes 1
individual 1
invested 1
is 7
issue 1
it 2
just 1
large 1
led 2
local 1
lunatic 1
majority 1
man 2
masse 1
masses 1
matters 1
may 1
mayor 3
mean 1
medicinal 1
meeting 1
memorable 1
minority 1
money 1
most 1
multitude 1
must 1
new 1
norway 1
notion 1
of 12
order 1
people 2
persuade 1
peter 1
popular 1
pride 1
principles 1
private 1
problem 1
proclaims 1
products 1
project 1
promptly 1
proposed 1
prosperity 2
proving 1
public 1
publicly 1
quote 1
rebuttal 1
recently 1
refuse 1
refuses 1
report 1
right 2
ruin 1
said 1
says 1
scathing 1
seem 1
selfadvancing 1
sends 1
serious 1
seriousness 1
should 1
small 1
solution 1
source 1
stands 1
stockmann 9
strongest 1
subordinating 1
successful 1
such 1
sums 1
superior 1
support 1
surge 1
surprise 1
tannery 1
taunted 1
that 5
the 34
they 1
this 2
thomas 1
through 1
to 14
tourism 1
tourists 1
towards 1
town 7
townspeople 1
turn 1
unable 1
unwilling 1
up 1
value 1
victorian 1
warns 1
waste 1
waters 1
which 3
who 2
will 1
with 1
world 1
would 1
wrong 2
