25031018
/m/09g6rqc
/m/09g6rqc
Lois-Ann Yamanaka
1997

a 6
abandonment 1
able 3
affected 1
after 2
allowing 1
alone 1
already 1
also 1
although 1
among 1
and 13
angst 1
any 1
apart 1
approved 1
are 9
as 11
attached 1
attempted 1
away 1
barely 1
battle 1
because 1
becomes 1
begin 1
behalf 1
being 1
beside 1
blames 1
blu 4
both 1
bringing 1
by 4
cannot 1
care 2
certain 1
child 1
children 6
circumstances 1
cold 1
combated 1
come 1
concern 1
conclusively 1
constant 1
constantly 2
cope 2
cross 1
dangerous 1
deal 1
dealing 1
death 2
deeply 1
depressed 1
desperate 1
died 1
diminish 1
distressed 1
dog 1
drugs 1
due 1
each 1
easily 1
economically 1
effects 1
eleanor 6
emotionally 1
ends 1
ensue 1
even 2
events 1
expectations 1
family 7
father 2
feel 1
feeling 1
find 1
first 1
for 3
fractured 1
fragile 1
frequent 1
fulfill 1
further 1
glimmer 1
go 1
going 1
grieve 1
grips 1
guidance 1
hanging 1
hardened 1
harshly 1
has 2
have 1
he 5
held 1
her 9
himself 2
his 4
hope 1
how 1
ie 1
in 6
including 1
independence 1
individuals 1
influences 1
introduces 1
is 7
issues 2
it 1
ivah 4
judgment 1
kasan 1
knowing 1
lack 1
leaves 1
left 3
letting 1
life 2
like 1
look 1
losing 1
loss 2
maisie 2
making 1
maternal 1
meet 1
moon 1
more 1
mother 1
move 3
negative 1
neglected 1
neighbor 1
never 1
no 1
not 2
novel 1
of 16
ogata 2
ogatas 1
on 6
or 1
orphans 1
outer 1
pain 1
parent 1
parenting 1
paulo 1
place 1
poppy 5
positive 1
presence 3
proper 1
racial 1
rapes 1
real 1
references 1
reform 1
rely 1
remains 1
result 2
river 1
role 1
school 1
seemingly 1
seems 2
she 1
siblings 2
situations 1
small 1
societal 1
society 1
somewhat 1
speaks 1
specifically 1
state 3
stepping 1
still 3
stone 1
struggle 2
struggles 3
suffering 1
support 2
system 1
teetering 1
that 1
the 22
their 8
them 2
themselves 1
they 6
this 1
though 1
through 2
to 28
torn 1
treated 1
troublesome 1
true 1
turns 1
two 1
ultimately 1
unable 1
uncle 1
unfold 1
unique 1
unit 1
unrealistic 1
used 1
very 3
violence 1
ways 1
weakening 1
well 1
when 1
which 2
who 2
wife 2
with 8
within 1
wouldve 1
wounded 1
yet 1
younger 2
