5500478
/m/0dpncs
/m/0dpncs
Peter O'Donnell
1982-10-21
a 6
agent 1
an 2
and 13
any 1
are 4
around 1
as 1
assaults 1
at 2
attack 1
back 1
bad 1
battalion 1
bay 1
be 1
before 1
ben 4
blaise 1
blowing 1
blows 1
boat 1
bodies 1
bridge 1
british 1
but 3
by 2
can 2
captured 2
christie 1
cia 1
clothed 1
coast 1
commando 1
course 1
cover 1
dam 1
dead 1
destroy 1
drugged 1
earl 1
embassy 1
england 1
entire 1
escape 2
eventually 1
example 1
final 1
fishing 1
following 1
for 1
formerly 1
france 1
francisco 2
french 1
friend 1
from 1
gaining 1
garvin 1
gate 1
germany 1
get 2
gets 1
go 1
golden 1
gun 1
hang 1
has 2
held 1
help 1
his 1
if 1
imprisoned 1
in 6
infiltrate 1
intend 1
international 1
into 1
is 4
island 1
kill 1
killing 1
kingdom 1
knows 1
lead 1
leader 1
leaders 1
leads 1
least 1
leave 1
localizing 1
madeira 1
madrid 1
major 2
make 1
making 1
manages 1
marine 1
maur 2
ministers 1
modesty 6
morocco 1
motives 1
necessary 1
nobody 1
not 2
nowhere 1
nuclear 1
of 12
off 1
old 1
on 2
one 1
or 1
organization 1
out 2
plan 1
plant 1
point 1
possibly 1
power 1
preparations 1
president 1
prevented 1
prime 1
real 1
runs 1
san 2
scene 1
several 1
she 2
small 1
sprung 1
st 2
staff 1
states 1
such 1
surprises 1
terrorist 1
that 3
the 19
their 1
they 3
things 1
this 1
to 11
top 1
trail 1
tries 1
trying 1
turkish 1
uniforms 1
united 2
up 1
utah 1
warning 1
watchmen 10
way 1
west 1
what 1
when 1
which 1
who 1
willie 3
without 1
worse 1
wrecking 1
