24021398
/m/07k5tyc
/m/07k5tyc
David Wellington
2008
160s 1
a 7
abandoned 1
able 1
accepted 1
accepts 1
after 1
all 2
ally 1
an 2
and 16
angus 2
any 1
arkeley 10
arkeleys 4
arrested 1
as 2
astarte 2
at 1
attack 1
back 2
bait 1
battle 1
be 1
because 1
been 1
blood 1
bloodmaddened 1
boss 1
boy 1
brother 1
burning 2
but 3
by 5
captured 1
carboy 1
carboya 1
carboys 1
carrying 1
caxton 10
caxtons 1
centralia 1
chance 1
civil 1
clues 1
coal 3
come 1
company 1
constitutional 1
crippled 1
curse 5
custody 2
daughter 1
den 1
depths 2
deputized 1
deputy 1
discovers 1
dispatches 1
down 2
dylan 1
encounter 1
endurance 1
enough 1
escape 1
estranged 1
falling 1
family 4
fetlock 2
find 1
finds 2
fire 1
first 1
for 3
forced 1
former 3
from 2
gettysburg 1
ghost 1
gun 1
halfdead 1
halfdeads 1
has 1
he 3
her 9
hidden 1
him 3
hindered 1
his 12
history 1
hunt 1
hunter 2
immediately 1
impossible 1
in 3
intent 1
into 7
is 7
it 1
james 1
kill 3
kills 2
lair 1
laura 2
leads 1
learn 1
leaving 1
let 1
limit 1
location 1
lures 1
marshal 1
marshall 1
meal 1
member 1
memorial 1
mentor 1
mine 3
minions 1
most 1
mystic 1
new 2
now 2
obsession 1
of 10
offering 1
offspring 1
on 3
only 1
out 1
own 1
pennsylvania 3
polder 1
premiere 1
promise 1
promised 1
protective 1
pursued 1
pushed 1
questioning 1
quickly 2
raleigh 4
reanimated 2
recapture 1
refuse 1
regiment 1
relationship 1
reneges 1
reunion 1
reveals 1
rights 1
service 1
she 4
shot 1
sideshaft 1
simon 4
soldiers 1
son 1
sorts 1
special 1
started 1
starts 1
state 1
status 1
surface 1
surviving 1
taken 1
takes 1
taking 1
that 1
the 26
them 2
there 1
they 1
this 1
to 14
took 1
tortures 1
town 2
tracks 1
tricks 1
trooper 1
turned 1
turns 1
undead 2
underground 1
unhealthy 1
until 2
us 2
using 1
vampire 7
vampires 1
vampirestries 1
vesta 1
violating 1
wannabe 1
warera 1
was 1
way 1
were 1
when 7
whereabouts 1
who 1
wife 1
willingly 1
with 4
worlds 1
