5677127
/m/0dzm1x
/m/0dzm1x
Nando Parrado
2006

13 1
172 1
174 1
2006 1
34 1
571 1
72 1
a 1
after 1
air 1
alive 1
alumni 1
and 3
andes 5
article 1
based 1
book 2
college 1
consisting 1
cowrote 1
crash 1
crashed 1
days 1
described 1
events 1
flight 1
force 1
from 1
home 1
however 1
in 4
interviews 1
into 1
is 1
later 1
long 1
main 1
maris 1
miracle 3
montevideo 1
most 1
mountain 1
mountains 1
my 1
october 1
of 8
on 3
parrado 3
part 1
paul 2
people 1
piers 2
point 1
published 1
rause 1
read 2
rescue 2
returns 1
rugby 1
see 1
stella 1
story 2
survivors 2
team 1
tells 1
the 14
to 1
told 1
trek 1
two 1
upon 1
uruguayan 2
version 1
view 1
vince 1
was 2
were 2
which 2
who 1
whom 1
with 2
years 2
