17654377
/m/047fjw1
/m/047fjw1
Iris Murdoch

14th 1
a 29
abbey 4
about 2
addressed 1
admiring 1
afraid 1
after 4
afterwards 1
again 1
agrees 3
alerted 1
all 4
along 1
also 1
an 3
and 41
another 1
apart 1
apologise 1
apparent 1
appears 1
are 7
arrival 1
arrives 1
as 8
at 10
attempt 1
attend 1
avoid 2
awakened 1
away 2
awkward 1
bach 1
back 6
badly 1
barn 1
be 2
because 1
become 4
been 1
before 6
behalf 1
being 5
bell 10
best 1
between 2
bishop 2
book 1
both 4
bottom 1
breaks 3
bring 1
brother 1
bury 1
but 7
butterfly 3
by 7
called 1
cannot 1
car 2
carriage 1
catherine 7
caught 1
causeway 1
century 1
ceremony 3
chapter 3
choose 1
clinic 1
collect 2
come 1
comes 1
community 6
company 1
confess 2
confessed 1
confused 1
convent 1
conversation 3
crawling 1
crushed 1
cultivator 1
curse 1
dancing 1
day 1
days 1
deal 1
decides 8
described 1
despite 1
detail 1
disbelief 1
discover 1
discovers 1
discuss 2
distracted 1
do 1
does 2
doesnt 1
doing 3
dora 28
down 1
drags 1
dream 1
drive 1
drives 1
drops 1
drown 1
drunk 1
during 12
each 1
eden 1
embraces 1
end 2
ending 1
ends 1
enter 1
entering 1
evening 1
events 1
eventually 1
exit 1
experience 1
explains 1
explore 2
expresses 1
eye 1
eyes 1
falling 1
familiar 1
fawley 2
feels 1
few 1
find 1
first 2
fixing 1
fly 1
followed 1
for 5
forced 1
forgets 1
forgetting 1
fourteenyearold 1
friend 1
from 2
gallery 1
garden 1
gashe 1
get 3
gets 1
gloucestershire 1
go 4
goes 3
going 4
great 1
greater 1
greenfield 2
grounds 1
had 4
happened 4
has 10
haul 1
have 2
he 14
headlights 1
headmaster 2
held 3
her 15
herself 1
him 8
himself 1
his 4
home 1
homosexual 1
horror 1
house 4
how 1
however 1
human 1
husband 1
if 2
imber 11
important 1
impression 1
in 13
independent 1
inkling 1
instead 1
intent 1
interprets 1
into 5
introduced 2
is 22
issues 1
it 11
james 7
join 2
journey 2
just 1
keep 2
kiss 1
kisses 1
kissing 1
knew 1
knows 1
lake 7
last 1
later 1
laughter 1
leans 1
learn 1
leave 1
leaves 5
leaving 1
legend 1
life 1
lion 1
listening 1
london 2
looking 1
lorry 1
love 2
lover 1
luggage 2
making 2
manuscripts 1
mark 3
matter 1
meade 1
mechanical 1
meet 1
meeting 1
meets 1
member 1
michael 26
miracle 1
mocking 1
more 1
moved 1
mrs 2
must 1
naked 1
national 1
nearby 1
new 4
next 2
nick 15
nightmare 1
noel 5
noise 1
not 2
note 1
novel 1
nun 2
nuns 1
of 18
off 3
often 1
old 1
on 16
one 1
only 1
other 1
our 1
out 4
outside 2
oxford 1
pace 1
paintings 1
part 2
partly 1
past 2
patchway 1
paul 8
perhaps 1
person 2
peter 1
picks 2
place 1
plummeted 1
politely 1
position 1
preaches 1
priest 1
pub 2
pursued 1
put 2
reach 1
reaches 1
realise 1
realises 1
recital 1
reflect 1
relationship 2
relationships 1
releases 1
religious 1
reluctantly 1
remaining 1
repeated 1
report 1
rescued 1
rescuing 1
responsibility 1
retreats 1
return 3
returning 1
returns 2
ring 1
roll 1
runs 1
sally 1
same 1
save 1
saw 2
sawed 1
says 1
scene 1
schoolboy 1
schoolmaster 1
scuffle 1
see 6
seems 1
sees 2
sent 1
sermon 1
service 1
seven 1
sexual 1
she 13
shoes 1
short 1
shortly 2
shot 1
should 3
show 2
shows 1
sister 1
sixteen 1
slightly 1
small 2
so 3
some 1
soon 2
speaking 1
spens 1
spots 1
start 1
starts 1
station 2
stay 4
step 1
still 2
stop 2
stops 1
straffords 1
substitute 1
successful 1
successfully 1
such 1
suicide 1
suitcases 1
surface 1
swiftly 1
swim 1
swindon 1
take 1
takes 4
talk 1
tayper 1
teacher 1
tells 4
temporarily 1
tenderness 1
than 1
that 18
the 84
them 7
then 13
they 13
things 2
this 9
though 1
threatened 1
through 1
throws 1
time 6
to 63
toby 25
together 2
told 2
topglass 1
tour 1
towards 1
tractor 1
train 3
trick 1
tries 2
turn 1
turns 1
two 2
uncontrollable 1
until 1
up 8
upset 1
us 1
used 1
using 1
very 1
visit 2
visits 1
volunteer 1
waiting 1
walks 1
wanting 2
wants 1
was 2
watch 1
way 2
we 4
well 1
went 1
were 1
what 6
when 8
where 8
which 8
while 1
white 1
who 9
will 5
window 1
with 10
woken 1
woman 1
woods 1
work 1
worrying 1
wouldnt 1
