8346681
/m/02707k3
/m/02707k3
Caroline Lawrence
2001-09-20
{"/m/02p0szs": "Historical fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
7 1
a 21
able 1
about 2
ad 1
after 4
afternoon 1
against 1
agree 1
agrees 1
all 2
although 1
and 18
another 1
any 1
are 1
around 1
as 3
asks 1
at 3
avitus 5
away 3
back 1
be 2
because 1
been 2
beggar 2
beginning 1
begins 1
beheaded 1
being 1
ben 2
between 1
birthday 1
bitten 1
bobas 1
boy 5
brings 1
brother 1
but 3
buy 1
by 5
call 1
called 3
cannot 2
captain 1
caught 1
celebration 1
chase 1
city 1
clear 1
clues 1
coin 1
coins 1
commit 1
confirms 1
conversation 1
cordius 4
crime 1
cut 1
dates 1
daughter 2
day 1
days 1
decides 3
detectives 1
died 1
difficult 1
doctor 1
dog 2
dogkilling 1
dogs 4
door 1
drunk 1
eat 1
enters 1
entrusted 1
evidence 1
explains 1
ezra 1
falls 2
family 1
farm 1
father 4
favourite 1
few 2
find 6
finds 3
flavia 15
flavius 1
follow 1
following 1
for 4
forgive 1
forum 1
found 1
freedman 1
friends 1
frighten 1
from 7
gaius 1
gamblers 2
garden 1
gathering 1
gave 1
gemina 1
geminus 2
getting 1
girl 1
given 1
gives 2
giving 1
go 1
goes 2
gold 2
grateful 1
griefstricken 1
guilty 1
harbor 1
has 7
hates 1
he 12
head 1
heads 1
hears 1
help 1
her 12
him 6
himself 1
his 8
hiscastor 1
home 1
horrible 1
house 3
hundred 1
identity 1
immediately 1
imperfections 1
in 9
instantly 1
intended 1
into 1
invite 1
is 15
it 3
jeweller 1
jewellery 1
jewels 1
jonathan 4
june 1
just 1
kill 1
killed 1
kindly 1
know 1
late 1
later 3
latin 2
lay 1
lead 1
leads 1
led 1
libertus 2
life 2
light 1
lighthouse 1
looks 1
lost 1
lupus 8
magpie 2
marcus 6
market 1
meets 1
middle 1
miriam 1
misery 1
money 1
mordecai 5
morning 1
mother 1
moved 1
mystery 4
name 1
necropolis 1
nest 1
next 3
night 2
nipur 1
nobody 1
notices 1
nubia 4
obviously 1
of 17
off 1
offers 2
on 6
one 4
out 3
outside 1
overheard 1
overhears 1
own 2
pack 2
panic 1
party 2
people 1
persuades 1
pity 1
place 1
pollux 1
pompeii 1
process 1
promises 2
puppies 1
rabies 1
reading 1
realises 2
recentlydisembarked 1
recognizes 1
reminding 1
rescued 2
returns 1
reward 1
ring 1
safe 1
sailor 1
save 1
saw 1
scrolls 1
sea 1
search 1
secretly 1
seeing 1
sees 2
sell 1
sesterces 1
she 11
sheds 1
shocked 2
sight 1
signet 1
sister 1
sitting 1
six 1
slavegirl 1
slaves 2
so 1
solve 2
solving 1
some 1
someone 2
speak 1
stay 2
stealing 1
stolen 1
storeroom 1
story 1
street 1
stuck 1
study 1
successful 1
suddenly 1
suicide 1
suspect 1
taken 1
takes 2
tavern 3
teach 1
team 1
that 9
the 48
their 1
them 5
they 8
thief 1
this 2
three 1
throwing 1
tigris 1
time 1
to 33
tongue 1
top 1
town 1
trap 1
treasure 2
treats 1
tree 1
treed 1
trident 1
two 2
very 2
voyage 2
wall 1
way 2
when 5
where 3
which 3
who 3
wild 1
will 3
with 3
wolf 1
word 1
young 3
