187861
/m/019px5
/m/019px5
Thomas Pynchon
1963
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
104 1
122 1
156 1
161 1
18 2
184 1
1th 1
a 34
about 1
actually 1
admits 1
affair 1
africa 2
after 2
again 2
agent 2
air 1
alive 1
alligators 1
almost 1
also 2
alternates 1
always 1
america 1
american 1
among 1
an 4
and 17
another 1
appear 1
appearance 1
appears 1
are 2
arrives 1
artificial 1
as 13
assumes 1
at 2
attempts 1
auspices 1
back 1
baedeker 1
ballerina 2
ballet 1
bandpass 1
basic 1
be 2
beam 1
because 1
being 1
believes 1
benny 6
besides 1
between 1
blows 1
bodine 1
bombardment 1
brief 1
briefly 1
british 2
building 1
but 3
by 5
centers 2
central 1
century 1
certainly 1
chapter 7
chapters 3
character 2
characters 1
civilian 1
clear 1
clues 1
collected 1
colony 1
come 1
comes 1
community 1
comprises 1
conclusion 1
conflict 1
conjecturemdashthis 1
consists 1
converge 1
copious 1
corps 1
course 1
crew 1
crises 1
crisis 2
crude 1
crushed 1
daughter 1
death 1
decades 1
depths 1
desire 1
details 1
diary 2
dies 1
different 2
diplomatic 1
dissimilar 1
do 1
does 1
double 2
down 2
du 1
during 3
duties 1
each 3
early 1
egypt 2
eight 3
emotional 1
end 2
entranced 1
episode 1
episodes 1
equipment 1
even 1
everyone 1
face 1
fails 1
fairing 2
fallen 1
father 2
fausto 5
fears 1
featuring 1
few 1
figures 4
filter 1
finds 1
first 3
flashback 1
flashbacks 1
florence 2
follows 2
for 10
form 1
forming 1
framing 1
from 6
generationspanning 1
german 3
gives 1
going 1
gravity 1
guide 1
had 1
hands 1
has 2
having 2
he 7
hear 1
heit 1
her 5
here 1
herero 1
him 4
himself 1
hint 1
hires 1
his 4
historical 1
how 3
hunting 1
i 1
igor 1
ii 1
imagines 1
impalement 2
implicitly 1
implored 1
in 29
incarnation 1
incarnations 1
includes 1
including 1
increasingly 1
independence 1
interpretation 1
intersecting 2
into 5
intrigue 1
introduction 2
involving 2
is 18
it 4
job 1
jokes 1
journals 1
karl 1
kilroy 2
know 1
knowledge 1
kurt 1
language 1
largely 1
last 2
lead 1
learner 2
leaves 1
letter 3
lheuremaudit 1
life 3
limbs 1
lines 1
linus 2
living 1
long 1
mad 1
made 1
maijstral 3
majistral 1
makes 1
malta 4
maltese 1
manganese 1
manhattan 1
marginally 1
mass 1
masterpiece 1
material 1
may 2
mediterranean 1
meets 1
members 1
meroving 1
minor 1
mlanie 1
mobydick 1
modeled 1
moment 1
mondaugen 1
more 1
most 1
much 3
murder 1
name 2
named 1
names 1
namibia 1
narrative 1
natives 1
navy 1
noneuropean 1
not 3
notably 1
notsoold 1
novel 3
now 2
null 1
observe 1
of 32
off 1
old 1
on 6
one 2
only 1
or 5
origin 1
originally 1
other 1
others 1
out 1
paola 1
part 3
partly 1
performance 4
person 1
personality 1
pig 1
place 2
plot 1
point 1
possibly 1
preaching 1
pregnant 1
premiere 1
present 1
priest 1
profane 2
proposes 1
protective 1
published 1
purpose 1
pynchon 3
quotations 1
rainbow 1
rat 1
rats 1
reconstruction 1
reconstructsmdashwe 1
relatively 1
releases 1
relieve 1
revealed 1
reworking 1
right 1
riotous 1
riots 1
rite 1
rose 2
royal 1
rubble 1
sacrifice 1
sailor 1
sails 1
same 1
schematic 1
searching 1
sections 2
sent 1
sequences 1
series 1
set 3
setting 1
sewers 2
sex 1
she 2
ship 1
short 2
sick 1
sidekick 1
siege 1
simply 1
sj 1
slow 2
so 1
some 1
southwest 2
spring 1
spy 1
spydiplomat 1
sr 2
stages 1
stand 1
stencil 17
stencilised 1
stencilv 2
still 1
story 8
storylines 1
stravinsky 1
subplot 1
suez 1
suffering 1
tell 1
that 3
the 69
their 1
them 1
then 1
there 1
thereof 1
these 1
they 1
this 5
threads 1
throes 1
tired 1
title 1
to 17
together 2
too 1
took 1
tow 1
toward 2
translating 1
travel 2
trysted 1
two 1
uncharacteristically 1
under 4
understood 1
unravel 1
up 2
v 7
valletta 2
various 2
venezuela 1
venus 1
vera 2
veronica 1
vesuvius 1
vheissu 1
victoria 2
view 1
viewpoints 1
virgin 1
vshape 1
war 2
wars 1
was 5
waterspout 1
we 1
wear 1
well 2
were 1
when 3
which 4
who 5
whole 1
wie 1
wife 1
will 2
with 6
woman 2
working 2
world 2
wren 1
writes 1
you 1
young 3
