1489460
/m/055dcy
/m/055dcy
Caryl Churchill

1 4
17 1
2 3
25 1
a 10
about 1
act 9
administrator 1
advances 1
africa 1
after 2
again 1
although 1
an 3
and 13
appearing 1
are 4
around 1
arrival 1
at 1
bagley 1
be 1
becomes 1
begin 1
betty 3
bisexual 1
british 1
by 2
call 1
celebrations 1
ceremony 1
characters 2
churchill 1
clive 6
colonial 1
comes 1
condemned 1
custody 1
daughter 1
discovered 1
discovers 1
distant 1
drunken 1
during 1
edward 7
ellen 1
ends 1
explorer 1
fact 1
family 1
fancies 1
final 2
followed 1
for 2
forced 1
friends 1
from 2
gay 1
gerry 4
giving 1
goddess 1
good 1
governess 2
gun 1
harry 3
has 5
have 2
he 1
her 3
herself 1
him 1
his 4
i 1
ii 1
in 6
into 1
is 8
joshua 2
leaves 1
left 2
lesbian 2
lin 3
lives 1
looser 1
makes 1
marriage 1
married 1
martin 3
mnage 1
moves 1
mrs 2
natives 1
now 1
of 5
on 1
only 1
openly 1
ordering 1
overbearing 1
passed 1
passionate 1
played 1
pointing 1
reappearing 1
relationship 2
reveals 1
rioting 1
safety 1
saunders 2
scene 2
scenes 1
secretly 1
seek 1
servant 2
set 1
sex 1
sexuality 2
sharing 1
shows 1
sister 1
some 1
son 2
soon 1
speech 1
starts 1
structure 1
tells 1
terms 1
than 1
that 2
the 11
their 1
them 3
they 2
three 1
times 1
to 5
tommy 1
trois 1
turbulent 1
up 1
upset 1
victoria 3
wedding 1
when 1
which 1
while 1
who 4
widow 1
wife 1
with 10
years 1
