985921
/m/03wthk
/m/03wthk
Nikos Kazantzakis

a 20
about 2
above 1
afraid 2
after 1
against 2
agha 2
all 2
almighty 1
among 2
an 2
and 34
announcing 1
another 2
any 2
anybodys 1
anymore 1
anything 1
apostle 6
appalls 1
archon 1
are 4
as 1
ask 1
asked 1
asks 1
at 4
attempts 1
away 1
baptist 1
barren 2
be 5
beautiful 1
becomes 3
been 1
began 1
believes 1
bell 2
bending 2
bends 1
blessing 2
blows 1
body 1
born 2
boy 1
boys 1
bring 1
brother 1
but 9
by 8
cafe 1
calling 1
calm 1
came 1
campaign 1
care 1
carefully 1
caring 1
change 1
character 3
characters 1
child 1
choosing 1
chosen 2
christ 8
christians 2
church 3
closed 1
cold 1
colorful 1
combed 1
come 1
comes 4
comfortably 1
coming 1
community 1
concerns 1
confused 1
consisting 2
continue 1
could 2
course 2
crazy 2
creaked 1
cried 2
crowd 1
crucified 1
crucify 1
dagger 1
daggers 1
dangerous 1
darkness 1
dead 1
decide 1
denied 1
desert 1
desire 1
devastated 1
dies 1
distinctly 2
do 2
does 1
doesnt 3
domineering 1
donkey 2
door 3
doors 1
down 1
drew 1
drinks 1
dying 1
earnest 1
earth 1
elders 4
else 1
empire 1
end 3
ends 1
engagement 1
enjoys 1
entrance 1
etc 1
eternity 1
even 1
every 1
everything 1
exvotos 1
eyes 2
face 1
factor 1
failed 1
father 8
fear 2
fell 1
finds 1
first 1
follows 1
fond 1
for 10
fotis 6
from 3
furious 1
gaily 1
generous 1
giant 1
gives 2
gleam 1
god 2
gods 1
gone 1
goodhearted 1
great 1
greek 2
grigoris 6
group 2
guard 1
hadji 1
hair 1
halflight 1
hands 2
happening 1
has 2
hastened 1
hate 1
haunted 1
have 4
he 25
head 1
heard 2
heart 1
heaved 1
help 2
her 2
hill 1
him 6
himself 1
hinges 1
his 23
holds 2
household 1
humble 1
hundreds 1
hungry 1
hussein 1
i 1
icons 1
icy 1
if 1
in 21
indoctrinated 1
ineffectual 1
infuriates 1
instant 1
interest 1
introduced 1
is 27
it 6
items 1
its 1
james 1
john 3
judas 3
katerina 2
kill 2
kills 1
kneels 1
konstandis 1
kostandis 1
ladas 2
lamps 1
last 1
leader 1
lets 1
life 3
listened 1
lit 1
live 2
lives 4
loaded 1
looked 2
looking 1
lord 1
lose 2
loves 1
lycovrisi 1
lycovrissi 3
made 2
magdalene 1
main 3
man 2
mankind 1
manolios 8
manolioss 1
manolis 1
mary 2
master 1
me 1
means 1
men 2
merchantpeddler 1
michelis 5
midnight 1
minute 1
miser 1
mob 1
moment 1
monastery 1
money 1
more 2
most 1
mountain 4
murderers 1
muttered 1
my 3
naive 1
name 1
nearby 1
next 1
night 1
nikolis 1
no 2
nobleman 1
not 2
novice 1
obsessed 1
of 33
offers 1
old 3
on 4
once 2
one 7
only 1
open 3
opened 1
opinion 1
oriental 2
ottoman 1
out 1
outside 1
outsider 1
over 3
overrun 1
own 2
owner 1
panayotaros 4
passion 2
passionate 1
patriarcheas 2
pealing 1
people 5
peter 2
pitilessly 1
place 1
play 3
plays 2
pleasure 1
point 1
poverty 1
power 2
praying 1
preaching 1
pretty 1
priest 9
prostitute 1
raised 2
raki 1
real 2
really 1
redcheeked 1
refuge 1
refugees 1
reports 1
rest 1
retire 1
revenge 1
riches 1
ringing 1
role 1
said 1
saint 1
saintly 1
same 1
sarakina 1
sarakini 1
save 2
saved 1
saw 1
schoolmaster 1
see 1
sells 1
seven 1
shaken 1
share 1
she 4
shelter 1
shepherd 1
shivering 1
shook 1
sigh 1
silent 1
simple 1
sin 1
slopes 1
smiling 1
so 1
someone 1
son 1
spend 1
spies 1
splendor 1
squeaked 1
stage 1
starless 1
starts 1
starve 1
starved 1
still 1
story 2
strident 1
strike 1
struck 1
surrounded 1
survive 1
take 2
takes 1
taking 1
that 2
thats 1
the 100
them 1
then 3
there 3
they 2
this 2
thousand 1
three 1
through 1
to 28
too 2
toward 4
travels 1
tries 1
tumult 1
turkish 1
turks 1
turned 4
two 1
under 3
up 3
upon 2
us 2
vain 2
vault 1
venom 1
very 1
village 15
villagers 4
villages 1
villains 1
violent 1
violently 1
virgin 1
voice 5
voices 1
waiting 1
warmhearted 1
was 10
wealthy 1
well 1
were 1
what 2
when 1
where 1
which 1
who 13
whole 2
whom 1
widow 2
wild 1
will 2
willing 1
with 11
wolftap 1
women 1
world 1
yannakkos 1
yannakos 2
yannakoss 1
years 2
you 3
your 1
