29872977
/m/0fqp8k6
/m/0fqp8k6
Charles Yu
2010
{"/m/05hgj": "Novel"}
31 1
a 14
about 1
also 2
amends 1
an 1
and 18
appendix 1
are 1
around 2
as 7
asks 1
at 1
back 5
be 1
because 3
been 1
before 1
begins 1
being 1
book 7
boss 1
broke 1
brought 1
buddhist 1
but 4
by 4
called 1
can 3
cannot 1
centers 1
charles 1
city 1
clock 1
clue 1
computer 1
concepts 1
conceptual 1
continually 1
continues 1
dad 1
day 1
depressed 1
died 1
dinner 1
diorama 2
director 1
discover 1
displayed 1
dog 1
down 1
dying 1
ed 1
end 1
entered 1
eventually 2
exit 1
exits 1
expandable 1
expanding 1
explained 1
explains 2
fame 1
father 8
find 2
finds 4
fix 1
fixing 1
flies 1
floats 1
forward 1
from 1
future 4
get 2
gets 1
girl 1
gives 1
grandmother 1
hand 1
handed 1
hanger 1
happen 1
happened 1
has 1
have 2
he 22
headed 1
her 3
him 4
himself 5
his 28
holographic 1
hour 1
how 2
if 1
in 15
infinitely 1
institute 1
interact 1
invented 1
is 7
it 3
jumps 1
just 1
keep 2
key 2
kill 1
leads 1
life 2
linus 2
lives 2
long 1
loop 2
loves 2
luke 1
machine 11
machines 1
makes 1
married 1
mechanic 1
memories 1
minor 1
mom 1
moment 1
mother 3
must 1
my 1
never 1
next 1
nonexistent 1
novel 2
of 7
off 2
out 2
overshadowed 1
past 3
people 1
phil 1
place 1
play 1
points 1
present 2
quickly 1
reading 1
realize 2
realizes 1
repaired 1
replays 1
research 1
reunites 1
rewrite 1
rushes 1
says 1
see 1
sees 3
self 6
serves 1
serviced 1
sets 1
she 6
shoes 1
shoot 1
shooting 1
shoots 1
shot 3
should 1
shuttle 1
skipped 1
skywalker 2
so 2
stalling 1
stay 1
steps 1
stomach 1
suggests 1
takes 1
talks 1
tammy 3
technology 1
temple 2
that 8
the 28
then 2
they 2
this 1
through 2
time 14
tm31 4
to 19
trapped 1
travel 1
traveled 1
travels 2
tried 1
try 1
unable 1
universe 1
up 1
version 1
visiting 1
visits 3
wakes 1
walks 1
was 3
wasnt 1
watches 1
well 1
what 1
when 1
where 1
which 2
while 1
who 4
with 5
woman 2
work 1
would 1
write 1
writing 1
you 2
yu 18
