32341887
/m/0gyt6tv
/m/0gyt6tv
Jeff Lindsay

a 11
accuses 1
act 1
actuality 1
admits 1
also 2
an 3
and 13
another 2
apprehend 1
arms 1
arrests 1
as 2
asks 1
astor 3
at 1
attempt 1
back 1
barely 1
be 1
been 1
begins 1
begs 1
being 1
blog 2
boat 2
body 2
bone 1
book 1
brian 2
broken 1
brother 1
but 1
by 3
calls 1
camilla 1
car 1
case 1
catches 1
cody 1
confronts 1
contacted 1
cop 1
copkiller 1
crush 1
deb 2
debra 1
dexter 25
dismembering 1
drinking 1
eaten 1
enough 1
ensues 1
evades 1
eventually 2
every 2
everything 1
fashion 2
figg 1
fight 1
first 1
follows 1
for 2
found 3
fountain 1
frdouble 1
front 2
get 1
gets 1
has 3
he 10
heading 1
help 2
her 2
him 7
his 6
horrible 1
in 13
interim 1
intervene 1
is 15
island 2
itdoppio 1
key 2
kill 1
killed 1
kills 1
knows 1
later 1
leave 1
man 1
managing 1
meanwhile 1
meets 1
metro 1
miami 1
murdered 1
near 2
night 1
observed 1
of 5
off 1
officer 2
officers 1
on 2
onto 1
order 1
out 1
overboard 1
pedophile 1
person 2
playtime 1
point 1
police 3
prime 1
proceeds 1
ptdouble 1
pulverized 1
rita 2
running 1
runs 1
says 1
searching 1
seat 1
set 3
sets 1
shadow 7
shark 1
significantly 1
similar 1
sister 1
sleeping 1
solve 1
soon 1
started 1
subdue 1
suite 1
suspect 1
suspicious 1
taco 1
takes 1
tells 1
that 1
the 22
them 1
there 1
this 2
through 1
to 16
tossing 1
trap 1
trying 1
unable 1
unbeknownst 1
undercover 1
unknown 1
up 1
watching 1
water 1
well 1
west 2
when 1
where 2
which 1
who 5
will 1
wine 1
with 5
witness 1
witnessed 1
works 1
wrapper 1
wrong 1
