79120
/m/0kl59
/m/0kl59
Anne Rice
1976-04-12
{"/m/0kflf": "Vampire fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/039vk": "Gothic fiction"}
171 1
200 1
200yearlong 1
20th 1
400yearold 1
60 1
a 28
abducted 1
about 1
accusations 1
across 1
aflame 1
after 3
against 1
all 3
also 1
although 1
america 2
among 2
an 4
ancient 1
and 46
animals 1
animated 1
another 1
any 3
appear 1
appears 1
approached 1
are 6
armand 8
arrived 1
arrives 1
arriving 1
as 8
ashen 1
assertive 1
at 1
attack 2
attacks 2
attempted 1
audience 1
barely 1
be 6
bear 1
become 1
becomes 1
before 1
begin 1
begins 4
begs 2
being 1
bends 1
between 1
blames 1
body 2
both 1
boy 5
brief 1
brother 1
burned 1
burning 1
but 11
by 7
can 1
car 1
care 1
century 1
cheap 1
child 1
childhood 1
claudia 19
coffin 2
comes 1
companion 2
companions 1
company 1
compassion 1
condition 1
connection 1
considers 1
consumed 1
convinced 1
corpse 1
corpses 1
courtyard 1
coven 3
creates 1
cross 1
cutting 1
daniel 1
daughter 1
death 5
demands 1
des 1
desires 2
destroy 1
devastated 1
disguise 1
dissolves 1
distraught 1
do 1
doll 1
dotingly 1
drawn 1
dump 1
each 1
early 1
easily 1
eastern 1
emotional 1
encounter 3
ends 1
escapes 1
escaping 1
eternal 1
europe 5
eventually 2
exterminate 1
fear 1
fearing 1
feed 1
feeding 2
feeds 3
figure 2
finds 3
fire 2
first 2
fiveyearold 1
flames 1
flee 1
following 1
for 9
forced 1
from 8
fully 1
furious 1
girl 3
give 1
given 1
gives 1
going 1
gradually 1
granted 1
great 1
ground 1
grow 1
grows 1
had 1
has 3
hatches 1
having 2
he 10
her 6
him 2
himself 3
his 15
home 1
horrified 1
however 1
human 2
humans 6
immortal 1
immortality 1
impossible 1
in 17
increasingly 1
indeed 1
indigo 1
influence 1
infuriated 1
inhabiting 1
initially 2
inside 1
instigate 1
intelligent 1
interviewer 1
into 8
is 10
it 3
keep 1
killed 1
killing 3
killings 1
kills 1
kind 2
lack 1
last 1
late 1
later 1
learned 1
leave 2
leaves 2
leaving 2
lestat 16
life 1
like 1
live 4
lives 1
living 5
local 1
locked 2
loner 1
louis 35
louisiana 2
made 1
madeleine 6
maker 2
makes 1
matures 1
merely 1
mind 1
mindless 1
mockplays 1
molloy 1
monsters 1
morally 1
more 2
mother 2
murder 2
name 1
named 2
nature 1
nearby 1
never 3
new 5
next 1
night 3
nothing 2
novel 1
now 1
of 15
off 3
old 3
on 1
one 4
only 4
open 1
orleans 5
other 1
out 2
over 1
own 3
owner 1
pain 1
paris 1
parisian 1
path 1
people 1
perceives 1
performance 1
pious 1
place 1
plagueridden 1
plantation 4
plot 1
poisoning 1
possible 1
powers 1
prepare 1
preys 1
prominent 1
proper 1
quickly 1
reach 1
realistic 1
realize 1
realizing 1
reason 1
recovered 1
recovering 1
recovers 1
referred 1
refuses 2
releases 1
remains 2
replacement 1
reporter 1
repulsed 2
result 1
returns 2
rises 1
rising 1
rule 1
santiago 1
seeing 1
seek 2
seeks 1
seem 1
serve 1
sets 2
several 1
shadows 1
she 5
six 1
slaves 3
slowly 1
some 1
soon 1
south 1
specifically 1
spends 1
spreading 1
starve 1
stay 1
story 2
suffering 1
sun 2
survive 1
survived 2
suspects 1
swamp 1
takes 1
tale 1
telling 1
tells 1
tenderly 1
terms 1
terrified 1
than 1
that 9
the 40
theater 1
theatre 2
theatrics 1
their 5
them 2
themselves 2
then 5
these 2
they 5
think 2
this 1
three 1
throat 1
throughout 1
thtre 1
time 3
tired 2
to 39
together 3
total 1
trace 1
travel 3
turn 2
turned 1
turns 2
two 1
under 1
unintelligible 1
up 1
upon 1
uprising 1
vampire 15
vampires 11
vanishes 1
very 1
was 1
way 2
weary 1
what 2
when 2
which 2
while 2
who 6
whom 1
will 1
with 7
without 1
witness 1
woman 1
word 1
world 2
years 4
young 2
