8427336
/m/02731r5
/m/02731r5
James Patterson
2002
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 3
alex 1
all 1
and 9
another 1
are 1
army 4
as 2
atrocities 2
been 1
before 1
behind 1
blind 2
blue 2
bodies 1
but 2
by 1
can 1
candidacy 1
captures 1
chiefs 1
civilians 1
colonel 1
commandant 1
committed 2
convicted 1
conviction 1
cooper 1
corpse 1
countless 1
course 1
crimes 1
cross 5
dc 1
detectives 1
determines 1
discover 1
discovered 1
down 1
during 1
each 1
ellis 1
executed 1
execution 1
features 1
for 3
frame 1
gang 1
general 1
gunfight 1
had 5
handler 1
he 1
him 1
his 1
homicide 1
hutchinson 5
in 6
instance 1
investigating 1
investigation 2
involved 1
involvement 1
is 2
jeopardize 1
john 1
joint 1
killed 3
killers 1
killings 1
mark 1
mastermind 1
members 1
metro 1
mice 2
modus 1
murder 1
murderer 1
murdering 1
murders 1
nicknamed 1
not 1
novel 1
of 9
operandi 1
ordering 1
painted 1
painting 1
performed 1
personnel 2
plot 1
point 1
police 1
protagonists 1
rangers 2
red 1
resulting 1
retaliation 1
sampson 3
sanctioning 1
sergeant 1
series 2
serving 1
similar 1
so 1
staff 1
street 1
subsequently 1
that 2
the 17
their 1
three 5
to 2
track 1
unarmed 1
unauthorized 1
uncovers 1
us 1
victim 1
vietnam 3
vietnamese 1
villagers 1
war 2
was 1
washington 1
west 1
while 2
white 1
who 1
wrongful 1
wrongfully 1
