21412409
/m/05f7hm3
/m/05f7hm3
Celia S. Friedman
2009-02-03
{"/m/01hmnh": "Fantasy"}
a 28
able 1
about 1
above 1
accepts 2
access 1
accompanies 1
achieve 1
activates 1
after 3
aid 1
all 3
allowed 1
along 1
already 1
also 1
alternately 1
although 1
among 1
an 5
ancient 1
and 33
another 1
anyone 1
apparent 1
apparently 1
approached 1
are 4
armored 1
around 3
arrive 1
as 5
aside 1
at 6
attack 3
attempt 1
away 1
barely 1
battle 2
be 6
bear 1
beast 1
become 1
been 4
being 1
believes 1
believing 2
bird 1
blocked 1
blood 1
bond 2
bonding 1
both 3
brick 1
bringing 1
brought 1
built 1
but 4
by 8
can 2
cannot 1
captured 1
carried 1
case 1
cast 1
castle 3
celebrate 1
centers 1
chair 1
claiming 1
clans 1
climb 1
climbs 1
cling 1
colivar 2
coma 1
combined 1
communicate 1
companion 1
company 1
confront 1
connected 1
coordinate 1
created 2
creature 1
crises 1
damaged 1
deal 1
death 1
degrees 1
despite 1
died 1
dies 1
different 1
discover 3
discovered 1
discovery 1
disintegrated 1
divine 1
does 1
doing 1
down 2
drives 1
effort 1
either 2
encountered 1
ends 1
enemies 2
equally 1
ethanus 1
everyone 1
evidence 2
exchange 1
face 1
fact 1
faith 1
fake 1
fallen 2
far 1
fearing 1
female 1
fight 1
finally 1
find 2
finding 1
flee 1
for 6
forces 1
form 2
formation 1
from 5
function 1
furious 1
future 1
give 1
gives 1
goal 1
gods 3
gotten 1
great 3
guardian 1
guest 1
gwynofar 4
had 3
handful 1
has 6
have 5
having 2
he 10
heals 1
helps 1
her 13
hide 1
high 3
him 3
his 7
how 1
however 1
human 1
if 1
immediately 1
immortal 1
immortality 1
imprisoned 1
in 11
inactivity 1
including 2
indicated 1
information 1
inside 1
interaction 1
into 5
intrigue 1
intrigued 1
investigate 1
involved 1
is 6
it 3
its 3
itself 1
join 1
justice 1
kamala 8
keep 1
kierdwyn 4
killed 3
kind 1
kingdom 2
laid 1
later 1
law 1
lazaroth 2
leads 1
least 1
look 1
lord 1
lot 1
luck 1
lying 1
lyr 4
magister 1
magisters 2
make 2
manages 2
many 1
massive 1
may 1
means 2
meanwhile 2
meeting 1
merging 1
monastic 1
monk 1
monotheistic 1
most 1
mother 2
must 1
mysterious 1
myth 1
nearly 1
need 1
next 1
no 2
north 1
not 3
note 1
novel 1
odds 1
of 22
offer 2
offers 1
on 3
one 3
only 2
opens 1
or 2
other 3
others 3
out 3
over 2
own 1
pacifism 1
palace 1
passing 1
people 1
person 2
personality 1
pieces 1
pit 1
placed 1
point 2
political 2
power 5
present 1
previously 1
promise 1
prophecy 1
protector 1
protects 1
provided 1
psyches 1
queen 1
quickly 1
quietly 1
ramirus 3
rather 1
ravine 1
reach 1
receive 1
recognize 1
regarding 2
religion 2
remember 1
remembered 1
represented 1
rescue 1
resides 1
return 2
returning 2
returns 2
rhys 9
ride 1
safety 1
salvator 3
same 1
seeing 1
seeks 1
seem 1
seeming 2
sends 1
sets 1
seven 1
several 1
share 2
shared 1
she 6
shortly 1
show 1
sideria 7
sides 1
sit 1
situations 1
slowly 1
smell 2
sneak 1
so 2
some 2
sometimes 1
souleater 8
south 1
spear 1
spears 1
story 1
stranger 1
stronger 1
stunned 1
subterfuge 1
such 1
suddenly 2
sufferings 1
take 1
taken 2
takes 2
tale 1
telepathically 1
tells 2
temporarily 1
than 1
that 17
the 48
their 8
them 3
themselves 1
there 3
thereafter 1
these 1
they 12
things 1
this 4
those 2
thoughts 1
throne 3
thus 2
to 39
together 1
tombs 1
too 1
tower 2
trades 1
translate 1
trap 2
trapped 1
tries 1
truth 1
turn 2
turns 1
ultimate 1
until 1
unusual 2
unwillingness 1
up 2
usual 1
varying 1
via 1
victory 1
violation 1
vision 1
visits 2
vows 1
wait 1
walk 1
war 1
was 1
watches 1
way 3
weak 1
weakness 1
were 2
what 1
when 2
where 3
while 3
who 4
will 6
willingly 1
witches 1
with 11
within 1
world 2
wrath 8
