12835753
/m/02x6xtn
/m/02x6xtn
Brandon Sanderson
2007-08-21
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 11
abandon 1
able 1
across 1
after 1
allomancy 1
allows 1
ally 1
also 1
an 2
and 17
another 1
anything 1
apparently 1
appear 1
armies 2
army 7
arrives 1
as 9
ascension 3
assembly 2
at 6
attack 1
attacks 1
away 1
be 2
become 1
becomes 1
begins 1
book 2
brother 1
but 3
buying 1
by 2
can 1
casualties 1
caves 1
cett 6
check 1
city 3
close 1
coins 1
come 1
confidants 1
consumes 1
control 1
convinced 1
counterfeit 1
creating 1
crew 1
crisis 1
deaths 1
decides 3
depose 1
destroyed 1
doing 1
doorway 1
down 1
due 2
during 1
dwelling 1
dying 1
elect 1
elects 1
elend 10
else 1
emperor 1
entity 1
fake 1
father 1
feel 1
finds 2
fix 1
for 1
former 2
free 1
friends 1
from 1
general 1
generals 1
get 2
girlfriend 1
go 2
going 1
good 1
half 1
has 2
have 1
he 3
headed 1
heal 1
heals 1
her 3
him 4
himself 3
his 6
hitherto 1
home 1
how 1
human 1
hundreds 1
ill 1
in 6
is 13
it 4
journeys 1
just 1
kept 1
killing 1
kills 2
king 3
kings 1
koloss 4
large 1
last 1
later 1
laws 1
laying 1
leads 1
leave 1
led 1
longer 1
lord 3
lot 1
luthadel 8
make 1
makes 1
mansion 1
map 1
mentally 1
metal 1
middle 1
mist 2
mistborn 2
moment 1
most 1
must 1
new 3
no 1
not 1
now 2
obedience 1
of 24
on 1
one 2
or 1
out 2
part 2
penrod 2
personal 1
piece 1
pillaging 1
planning 1
politicking 1
power 2
realizes 2
rejecting 1
release 2
releases 1
rescue 1
rest 3
returns 1
ruler 2
same 3
save 1
sazed 4
scheme 1
seduce 1
series 1
she 7
short 2
shouts 1
siege 2
slaughtering 1
small 1
soldiers 1
son 1
staff 1
starting 1
staying 1
stops 2
straff 5
suffered 1
suspicious 2
team 1
tells 1
that 6
the 41
their 3
them 1
there 1
they 3
third 1
through 1
time 4
to 24
try 1
trying 1
two 1
under 1
unknown 1
urged 1
urging 1
use 1
used 1
using 1
venture 4
victim 1
vin 11
voted 1
was 1
well 3
were 1
where 1
which 3
who 2
with 7
withdraws 1
world 1
wrote 1
zane 2
