901796
/m/03n8dh
/m/03n8dh
Robert Ludlum
1986-02-11
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
71 2
a 15
abduct 2
abducted 1
abduction 1
able 1
about 1
accredited 1
acting 1
action 1
agency 1
alarming 1
alexander 1
all 1
also 2
ambassador 1
american 1
amnesia 1
an 6
and 28
another 1
are 1
arrival 1
arrives 1
as 4
asia 4
asian 1
assassin 1
assaults 1
assistance 1
at 4
attempt 1
attempting 1
aware 1
back 5
bait 1
be 2
because 3
been 3
before 1
beginning 1
between 1
bird 1
book 2
border 1
bourne 21
bring 1
british 2
but 4
by 7
campus 1
can 1
canadian 2
capable 1
captive 1
captured 1
captures 1
carlos 1
catherine 1
central 1
children 1
china 4
chinese 3
choice 1
clearly 1
clues 1
codenamed 1
colleague 1
communist 1
confronts 1
conklin 5
consulate 1
contacted 1
control 2
convinced 1
country 1
course 2
crazy 1
credit 1
david 1
dead 1
decide 1
deepseated 1
default 1
delusional 1
desperately 1
discuss 1
doctor 1
down 2
draw 1
due 1
during 4
echo 2
economist 1
eliminate 2
elite 1
emotional 1
employed 1
encounters 1
escape 1
escapes 1
estate 1
european 1
evidence 1
executed 1
expiration 1
explains 1
fakes 1
feared 1
finds 2
first 2
follow 1
following 1
for 6
force 1
forces 1
former 2
found 1
fray 1
from 4
get 2
getting 1
go 2
goes 1
government 4
guns 1
had 1
handover 1
happily 1
has 9
hatch 1
hated 1
have 1
havland 5
he 18
held 2
helicopter 1
help 2
her 1
hiding 1
highranking 1
him 6
hired 1
his 11
holding 1
hong 3
hospital 1
hostile 1
house 2
identity 1
illness 1
imitator 2
immediately 1
imposter 2
impostor 6
in 18
increasingly 1
infamous 1
information 2
informs 1
injuries 1
instability 1
instead 1
instructions 1
intelligence 1
into 3
involvement 1
is 23
it 1
its 1
jackal 2
jason 4
jo 1
joined 1
kidnappers 1
kill 6
killed 3
killing 1
kills 2
know 1
kong 3
kowloon 1
later 2
leader 1
leak 1
lease 1
left 1
living 1
longer 1
loss 1
lost 1
macallister 3
macau 1
maine 1
mainland 1
make 2
manipulate 1
manipulated 1
marie 13
mcallister 4
meanwhile 1
medusa 4
meeting 3
meets 1
memory 1
men 1
mental 1
misled 1
mistrust 1
more 1
morris 1
most 1
must 2
name 3
nationalist 1
nearly 1
need 1
negotiated 1
new 1
ninetynineyear 1
no 2
now 2
of 27
official 2
officials 3
on 4
one 1
only 3
operated 1
operative 2
orchestrators 1
order 2
out 3
over 1
panov 1
people 2
person 1
persona 1
personally 1
phones 1
physical 1
place 1
plan 4
planning 1
play 1
political 1
popular 1
previously 1
project 2
psychological 1
real 1
recovered 1
refuge 1
regained 1
regular 1
representative 1
republic 2
requires 1
rest 1
returns 1
rival 1
rivals 1
sanctuary 1
saved 1
says 1
scenario 1
search 1
secret 1
security 1
seem 1
seen 1
set 1
she 1
sheng 8
shot 1
since 1
situation 2
so 1
someone 2
soon 1
southeast 1
staples 1
start 1
state 1
stated 1
sterile 1
still 1
story 1
studies 1
suffered 1
supremacy 1
swap 1
taipan 1
takeover 1
takes 1
taking 1
teaching 1
territories 1
tests 1
that 8
the 57
their 2
then 2
there 3
thereafter 1
they 4
thinking 1
thinks 1
threatening 1
through 1
throw 1
timely 1
to 29
told 2
took 1
tracing 1
track 2
tracking 1
tracks 1
trained 1
transformed 1
treadstone 3
trying 1
turns 1
under 3
undersecretary 1
university 2
unknown 1
us 3
use 1
used 1
using 1
various 1
vietnam 3
visible 1
wants 2
was 3
wealthy 1
webb 13
well 1
what 1
where 5
which 1
while 1
who 6
whole 1
whom 1
why 1
wife 2
will 2
with 7
withdrawal 1
without 1
work 1
yang 2
