321358
/m/01vk7y
/m/01vk7y
Stanisław Lem

a 6
agency 1
although 1
an 1
and 3
any 1
apparent 1
apparently 1
assumed 1
astronaut 1
be 2
became 1
becomes 1
between 1
but 1
by 2
can 1
case 3
certain 3
chance 1
chemical 2
chemicals 2
circumstances 1
combined 1
committed 1
connection 1
deaths 3
demonstrates 1
depressor 1
detective 1
discovers 1
due 1
during 2
effects 1
exists 1
experiences 1
former 1
he 1
help 1
helps 1
hero 1
him 1
hired 1
his 1
how 1
if 1
in 3
industrial 1
innocent 1
into 1
investigation 2
is 3
it 2
its 1
kind 1
led 1
mad 1
murder 1
mysterious 1
naples 1
never 1
of 6
poisoning 1
random 1
reactions 1
real 1
reason 1
serial 1
several 1
similarities 1
solve 1
sources 1
spas 1
string 1
strong 1
suicide 1
survive 1
that 1
the 10
their 1
to 5
training 1
vacation 1
various 1
victims 2
weapon 1
what 1
without 1
