11350641
/m/02r8kr5
/m/02r8kr5
Frederic Dannay

{"/m/02n4kr": "Mystery", "/m/0j5nm": "Whodunit", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
a 10
about 1
actually 1
although 1
an 3
and 3
anteroom 1
apparent 1
as 1
awaiting 1
based 1
bed 1
been 2
begin 1
bladder 1
broken 1
but 1
cabinet 1
characteristics 1
clues 1
coma 1
creates 1
crowded 1
deduction 1
diabetic 1
down 1
dutch 1
easy 1
eccentric 1
ellery 1
examines 1
extended 1
family 1
field 1
filing 1
found 1
founded 1
gall 1
guarded 1
had 1
has 2
have 2
he 1
her 3
him 1
his 1
hospital 4
impersonate 1
in 3
including 1
is 6
it 1
lace 1
limited 1
limp 1
list 1
logical 1
lying 1
makes 1
medical 1
member 1
members 1
memorial 1
mended 1
millionairess 1
murdered 1
murderer 2
narrows 1
necessary 1
number 2
of 14
on 2
one 1
only 1
opportunity 1
pair 1
patient 1
people 1
performs 1
personnel 1
picture 1
piece 1
plus 1
position 1
possibility 1
queen 1
removal 1
seen 1
she 1
shoe 1
shoes 1
single 1
slight 1
small 1
staff 1
strangled 1
such 1
suite 1
surgery 1
surgical 3
surprising 1
suspects 1
tape 1
that 2
the 15
to 5
vicinity 1
victim 1
was 1
well 1
when 1
which 2
who 1
wire 1
with 2
