20939604
/m/059_pnm
/m/059_pnm
Miha Mazzini

a 7
abuse 2
abused 2
accidentally 1
adult 1
allowed 1
also 2
alternative 1
an 2
and 12
apologize 1
are 1
as 4
at 8
be 2
beautiful 1
because 3
become 1
becomes 1
between 1
book 1
borders 2
but 2
by 4
can 2
catholic 1
child 2
childhood 1
choice 1
conflict 1
consequences 1
contrast 1
could 1
curtain 1
daily 1
dark 1
dead 2
deal 1
death 1
double 1
dreadful 1
dream 1
dreams 1
easy 1
egon 5
end 1
enough 1
escape 2
exposed 2
father 1
finds 1
first 1
for 4
forced 1
free 1
from 3
gets 1
ghosts 1
girl 1
growing 1
halucinations 1
has 2
have 3
having 2
he 3
help 1
helpless 1
her 3
high 1
him 1
his 2
home 4
however 1
identity 1
if 1
illustrations 1
in 9
industrial 1
integrate 1
into 1
iron 2
is 7
it 1
italy 1
keeps 3
kind 1
king 2
kingdom 1
less 1
life 2
little 2
live 1
makes 1
many 1
martyrs 1
milieu 1
molesting 1
mother 3
much 1
music 1
narrative 1
narrator 1
need 1
neglect 1
new 1
nightmarish 1
no 1
nona 3
normal 3
not 3
novel 3
now 1
of 17
old 1
on 1
one 1
only 3
open 1
order 1
other 2
over 1
own 1
paid 1
pay 1
peers 1
person 1
players 1
popular 2
posttraumatic 1
price 2
problems 3
rattling 1
real 1
record 1
records 1
saints 1
scapegoating 1
school 3
see 1
self 1
sexual 1
sexually 2
she 3
side 1
since 1
single 1
slovenia 1
so 1
souls 2
stepping 1
suicide 1
sure 1
survival 1
survives 1
survivors 1
sweet 1
task 1
teacher 1
teenage 2
teenager 1
tells 1
that 5
the 12
their 2
them 2
then 1
they 4
this 2
times 1
tito 1
to 13
too 2
town 1
tries 1
trust 1
twelve 1
understand 1
up 1
visits 1
war 1
was 1
watching 1
well 1
west 1
which 3
who 8
with 4
world 1
would 4
years 1
yugoslavia 1
