896326
/m/03mr1c
/m/03mr1c
Alastair Reynolds
2000
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
00000yearold 1
15 1
2524 1
2540 1
2551 1
2566 1
a 22
able 1
aboard 1
accompanied 1
achieved 1
activate 1
adapted 1
after 1
aimed 1
alerted 1
alerting 1
all 1
allbut 1
amarantin 4
an 3
ana 1
ancient 1
and 10
antimatter 2
apparently 1
appear 1
appearance 1
approach 1
archaeological 1
archaeologist 1
are 1
around 2
arrange 1
arrives 1
artificial 1
as 7
assassin 1
at 3
attacks 1
attempt 2
back 1
backwater 1
baulks 1
be 1
beacon 3
because 2
been 2
before 1
begins 1
belatedly 1
believed 1
between 1
body 1
bombs 3
book 2
bring 1
but 1
by 5
can 1
capable 1
captain 5
carried 2
cataclysm 1
caused 1
celestial 1
cells 1
cerberus 2
chance 1
characteristic 1
chasm 1
city 1
civilisation 2
civilization 1
closer 1
colonized 1
colony 2
combinations 1
consequences 1
considered 1
crew 7
crewhe 1
cultures 1
cure 4
dan 1
deal 1
decades 1
defying 1
demand 1
demise 1
desperate 2
destroy 2
destroying 1
detonates 1
detonation 1
device 1
discharge 1
discovers 1
disposal 1
does 1
down 1
dust 1
edge 2
emboldened 1
employer 2
enough 1
entire 1
epsilon 1
equal 1
eridani 1
eventually 1
evidence 1
excavating 1
excavation 1
exchange 1
existed 1
expertise 2
explicit 1
eyes 2
facility 1
family 2
fasterthanlight 1
fearing 1
figure 1
find 3
fledgling 1
follow 1
for 12
found 1
from 1
frozen 1
full 1
gives 1
government 2
grotesque 1
gunnery 1
handful 1
hands 1
happened 1
has 4
have 1
he 1
hegazi 1
help 2
her 1
hidden 1
higher 1
him 2
hired 1
his 3
however 1
human 6
humans 1
hundreds 1
ilia 1
implants 1
in 14
infected 1
infiltrate 1
infiltrated 1
infinity 6
infinitys 2
information 1
informs 1
inhibitors 1
inside 1
intelligence 1
interstellar 1
into 1
is 8
isnt 1
it 6
its 2
journey 1
jumps 1
khouri 5
kill 1
knowing 1
known 3
knows 1
later 1
leader 1
leads 1
left 1
level 1
life 1
long 1
longdead 1
machine 3
mademoiselle 1
makes 1
making 1
many 1
massive 3
meanwhile 1
measure 1
meetand 1
meeting 2
melding 1
mergeas 1
modified 1
more 1
most 1
much 1
mysterious 2
nanotechnology 1
narrative 1
near 1
new 5
next 1
nostalgia 7
not 1
novel 1
now 1
of 29
off 1
officer 1
often 1
old 1
on 5
once 4
one 3
only 2
opens 1
orbit 3
order 1
orders 1
other 1
out 2
over 2
particular 1
pascale 1
perverting 1
plague 1
planet 5
plot 1
power 1
presence 1
previously 1
professional 1
progresses 1
prominent 1
pursue 1
race 2
rather 1
reaches 2
realises 1
realize 1
realizes 1
remains 1
reminds 1
resurgam 7
revelation 1
reynolds 1
rigors 1
sajaki 1
scientific 1
scion 1
second 1
secure 1
seemingly 1
sentience 1
settlements 2
ship 7
shut 1
significance 1
since 1
single 2
small 1
sophistication 1
space 3
spaceflight 1
starfaring 1
starship 2
starts 1
storm 1
strands 1
subterfuge 1
successfully 1
sylveste 17
system 1
tableshe 1
team 1
technological 3
temporarily 1
than 2
that 10
the 62
their 4
them 4
they 1
theyre 1
this 3
those 1
though 1
thousands 1
threatens 1
three 1
time 2
to 24
travel 1
travels 1
triumvirs 3
turn 1
turns 1
twenty 1
ultimately 1
ultras 1
ultrashighly 1
universe 1
unrelated 1
using 2
violent 1
virus 1
volyova 3
was 1
wealthy 1
weapons 1
well 1
were 1
when 1
where 1
who 1
wife 1
will 2
wiped 1
wiping 1
with 4
without 1
work 1
works 1
would 1
year 1
years 2
yellowstone 4
