4633635
/m/0cdnv9
/m/0cdnv9
Douglas Coupland
1996

1 2
10 1
11 1
12 4
13 1
14 6
15 1
16 1
160s 2
17 1
18 1
2 1
20 1
3 1
4 1
5 1
6 1
7 1
8 1
a 19
about 4
acid 1
afraid 1
afternoon 2
almos 1
also 2
alto 1
american 1
an 1
and 15
angelus 1
appeared 1
april 2
are 8
artforum 2
article 1
as 5
attainable 2
bahamas 1
bc 1
becomes 1
berlin 1
billboards 1
body 1
book 1
both 1
brentwood 5
bridge 4
broken 1
brown 2
by 2
california 2
called 1
canada 1
cant 1
canyon 1
carries 1
chapters 2
characters 1
charles 1
chose 1
chronological 1
circus 1
clear 1
cobain 3
collection 3
concerts 2
contains 1
coupland 1
couplands 1
day 1
dc 1
dead 3
death 1
december 1
died 1
different 2
discusses 1
discussing 1
discussion 2
disneyland 2
documents 1
dont 1
down 1
east 1
election 1
eleven 1
envy 1
essay 4
essays 6
events 1
excluding 1
exhausted 1
experiences 1
extended 1
f 2
f111 1
fame 1
famous 1
fear 1
february 1
fictional 1
first 2
focus 1
follows 1
fone 1
forget 1
form 1
former 1
forms 1
four 1
from 7
fullpage 1
gate 3
german 2
goldman 1
grateful 2
harolding 1
has 1
have 1
heaven 1
historical 1
history 1
how 1
idea 1
images 2
in 22
inception 1
include 1
includes 1
including 2
incorporates 1
information 1
inspired 2
interesting 1
interspersed 1
into 3
involuntary 1
is 16
it 2
its 3
james 1
kurt 3
large 1
last 3
late 1
letter 3
letters 1
liability 1
life 1
lifetime 2
like 1
lions 3
list 2
long 1
los 2
magazine 3
manson 1
many 1
marilyn 2
may 2
mention 1
menus 1
microstories 2
monroe 2
morning 1
multiple 1
murdered 1
murders 1
name 1
new 5
nicole 2
nonfiction 1
notebook 2
notoriety 1
oblivion 1
of 24
off 1
old 1
on 3
or 3
originally 8
other 2
others 1
ours 1
own 1
palo 1
part 4
parts 1
people 3
periods 1
picture 1
piece 1
places 4
polaroids 2
portions 1
portraits 1
post 1
postcard 4
postcards 1
postfame 1
publications 1
published 10
recollections 2
reference 1
remember 1
repeating 1
reporter 2
republic 5
risk 1
risks 1
ron 1
rosenquists 1
second 1
section 3
sedation 1
selfperfection 2
series 1
sharon 1
shit 1
short 1
simpson 2
slightly 2
smell 1
some 2
spanning 1
spare 1
spin 2
split 1
stories 3
story 4
suburb 1
such 3
super 2
t 2
tate 1
technology 1
tedium 1
tempo 2
ten 1
text 2
that 1
the 37
their 2
these 1
they 1
this 5
three 1
time 1
tinkering 1
titles 1
to 9
told 1
topics 1
tuesday 2
two 1
under 1
us 1
vancouver 4
variety 1
vision 1
visited 1
visiting 1
was 3
washington 2
well 1
were 1
west 1
what 1
when 1
where 2
which 2
will 1
with 3
within 3
you 6
young 1
your 4
