6998089
/m/0g_kgp
/m/0g_kgp
Richard Garfinkle
1996
a 12
about 2
after 1
aias 4
an 2
anaxamander 1
ancestry 1
and 7
annihilate 1
annihilating 1
as 2
assassinating 1
assigned 1
audacious 1
back 1
becomes 1
been 1
begins 1
between 1
board 1
bodyguard 1
bring 1
bringing 1
by 2
capital 1
captain 1
carved 1
catastrophe 1
catch 1
chandra 1
city 2
clear 1
comes 1
commander 2
counsel 1
crippled 1
dark 1
delian 3
desperate 1
desperation 1
devised 1
differences 1
doubts 1
earth 2
embark 1
empires 1
end 1
entire 1
eventually 1
exhilarating 1
expressed 1
finally 1
fire 1
for 1
friend 1
generals 1
give 1
hare 1
has 2
have 1
he 1
heroic 1
herself 1
his 1
hope 2
hopes 1
in 1
is 6
it 3
keeps 1
kingdom 1
launch 1
league 2
lifeordeath 1
maneuvers 1
mathematician 1
method 1
middle 1
middler 2
middlers 1
mihradarius 1
military 1
mission 1
moon 1
moonship 1
narrated 1
of 13
old 1
on 3
out 2
overtake 1
own 1
piece 2
politicians 1
preparing 1
project 3
race 1
ramonojon 1
remains 1
resolve 1
rightness 1
sabotage 1
saboteur 1
sail 1
scientific 1
scientist 3
ship 1
shortly 1
so 1
spaceship 1
sparta 1
spheres 1
story 1
stowaway 1
strategy 1
sun 1
suncatching 1
sunthief 1
suspicion 1
synthesize 1
tear 1
thanks 1
that 1
the 23
their 1
them 1
there 2
they 1
this 2
through 1
to 11
try 1
two 1
tyre 1
understand 1
victory 1
viewed 1
voyage 1
war 1
way 1
who 2
will 1
wisdom 1
with 1
woman 1
wonder 1
worldspanning 1
xeroki 1
yellow 1
