161502
/m/015dlb
/m/015dlb
Ernest Hemingway
1952
{"/m/07m5w1": "Sea story", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
84 1
a 14
about 1
adversary 1
african 1
again 1
all 1
almost 2
alone 1
also 1
american 1
an 3
and 18
appreciation 1
apprentice 1
are 3
around 1
as 1
asleep 1
at 2
attached 1
attracted 1
away 1
back 2
backbone 1
bait 1
baseball 1
battle 2
be 2
beach 1
bears 1
because 1
bed 1
been 2
before 1
begins 1
between 2
big 1
blood 1
boat 1
body 1
boy 2
bring 1
brings 1
brother 1
but 1
by 6
caf 1
carcass 1
carrying 1
catching 1
circle 1
coffee 1
coming 1
compassionate 1
completely 1
confident 1
considered 1
consisting 1
continues 1
cries 1
cuban 1
dawn 1
day 6
days 2
dedicated 1
deep 1
delirium 1
determines 1
devoured 1
dignity 1
dimaggio 1
discussing 1
dreams 1
driven 1
during 2
each 1
eating 1
eightyfifth 1
end 2
endeavor 1
ending 1
entire 1
experienced 1
explanation 1
expresses 1
fact 1
falls 1
far 2
favorite 1
feed 1
finally 1
finding 1
finds 1
first 2
fish 12
fisherman 2
fishermen 3
fishing 1
five 1
food 1
for 2
forbidden 1
form 1
from 1
gather 1
gear 1
getting 1
gone 1
great 3
group 1
gulf 2
harpoon 3
has 3
hauling 1
have 1
he 10
head 1
heads 1
heavy 1
help 1
high 1
him 6
his 21
home 2
how 1
however 1
in 9
indicating 1
instead 1
into 2
is 9
it 2
its 5
joe 1
journey 1
keep 1
kills 1
knife 1
large 1
leaving 1
left 2
line 2
lines 1
lions 1
long 1
losing 1
makes 1
mako 1
man 8
manner 1
manolin 3
many 2
market 1
marlin 8
mast 1
measures 1
mistakenly 1
more 1
mostly 1
named 1
near 1
nearby 1
new 1
newspapers 1
next 4
night 1
nightfall 1
nights 1
no 1
noon 1
nose 1
novel 1
now 1
oar 1
of 15
off 1
often 1
old 9
on 7
once 2
one 2
onto 3
opens 1
ordeal 1
ordered 1
others 1
out 3
pain 1
parents 1
pass 1
people 1
player 1
price 1
process 1
promise 1
pull 2
pulling 1
reaching 1
referring 1
return 1
safe 1
sail 1
salao 1
santiago 13
sea 1
sets 2
shack 2
shark 2
sharks 5
shore 2
shoulder 1
side 2
skeleton 2
skiff 4
slain 1
sleep 2
slumps 1
so 1
stab 1
still 2
story 1
strapping 1
straps 1
streak 1
strength 1
struggle 1
struggles 1
successful 1
sure 1
tail 2
take 1
takes 1
taking 1
tells 1
tenacious 1
tension 1
that 7
the 62
they 1
thinking 1
third 1
this 1
though 1
thus 1
tiredness 1
to 19
together 1
total 1
tourists 1
trail 1
two 2
unable 1
unlucky 3
upon 2
uses 1
venture 1
visits 1
wakes 1
ward 1
water 1
way 1
weapon 1
when 1
where 1
which 1
while 1
who 1
will 4
with 6
without 1
worn 1
worried 1
worst 1
worthy 1
wounded 1
young 1
youthof 1
