10587561
/m/02qjkpk
/m/02qjkpk
Zoey Dean
2003
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 8
accept 1
accepts 1
after 1
airport 1
alist 1
alister 1
all 1
also 1
an 4
and 12
angeles 1
anna 20
appearance 1
appears 1
are 1
arrives 1
as 5
asleep 1
at 5
attempts 1
attend 1
attention 1
baby 1
bash 1
because 2
becoming 1
been 1
believe 1
believes 1
ben 9
big 2
birnbaum 1
boat 1
bond 1
book 2
both 1
break 1
broken 1
brothers 1
but 1
by 1
camilla 1
cammie 4
car 1
caring 1
causes 2
character 1
charity 1
city 1
coast 1
confesses 2
connection 1
convincing 1
crushes 1
date 1
day 2
dee 5
delia 1
desert 1
designer 1
discovers 2
do 1
doesnt 1
down 1
dress 1
drunk 1
during 1
earlier 1
east 2
eaten 1
edition 1
end 1
enrolled 1
entertainment 1
environment 1
eve 1
evening 1
expired 1
fail 1
fails 1
father 5
feel 1
follows 1
food 1
for 2
friends 1
from 1
get 2
getting 4
girls 1
go 1
goes 2
gotten 1
grave 1
group 1
grown 1
had 1
handsome 1
has 6
have 2
her 10
herself 1
high 1
him 1
his 4
hooker 1
hopes 1
house 1
how 1
immediate 1
in 9
indulge 1
industry 1
interest 1
internship 2
invites 2
is 6
jackson 1
jealous 1
jokingly 1
la 2
large 1
later 1
leading 1
life 1
living 1
look 1
los 1
lunch 1
many 1
marijuana 1
meets 2
mother 1
moves 1
much 1
new 3
not 1
of 9
on 3
once 1
only 1
order 1
other 1
out 2
partiers 1
party 1
people 1
percy 1
poisoning 1
pregnant 1
pretext 1
privilege 1
producer 1
project 1
raised 1
ready 1
refers 1
reinvent 1
rejected 1
results 1
ruined 1
rules 1
sam 5
samantha 1
same 2
school 1
sex 2
sharpe 2
she 9
shed 1
sheppard 1
short 1
show 1
side 1
somewhat 1
spend 1
spirituality 1
stature 1
stood 1
tells 1
that 9
the 18
they 1
things 1
this 2
threatened 1
to 21
traveling 1
trio 1
true 1
trying 1
two 1
unbeknownst 1
under 1
up 4
upper 1
upset 1
want 1
warner 1
wasp 1
we 1
wedding 2
well 1
which 5
while 3
who 1
whom 1
with 6
work 1
year 1
yogurt 1
york 1
young 1
