12006642
/m/03m3vkn
/m/03m3vkn
Leonardo Sciascia
1961

a 12
about 1
accounts 1
add 1
against 1
alike 1
all 2
although 1
an 3
and 9
another 1
as 1
attempting 1
away 1
back 1
bank 1
been 1
bellodi 4
bring 1
bus 3
but 2
by 1
captain 1
carabinieri 1
case 3
colasberna 1
collapse 1
colleagues 1
company 2
construction 1
contemporaries 1
corrupt 1
crime 1
dead 1
death 1
decides 1
deny 2
discovered 1
discovers 1
doesnt 1
down 1
driver 1
early 1
ends 1
even 1
ever 1
example 1
excuse 1
existence 1
eyewitness 1
faintly 1
fallow 1
feathers 1
fields 1
figure 1
for 3
friends 1
from 2
gets 1
given 1
go 1
goes 1
government 1
gunshot 1
had 1
handy 1
has 3
having 1
he 7
heard 1
him 3
his 5
if 1
ignored 1
in 9
informer 1
involved 1
is 6
it 3
killed 2
killings 2
lead 1
leads 1
leave 1
link 1
livigno 1
local 1
mafia 4
make 1
man 2
mancuso 1
many 3
market 1
members 2
mere 1
methods 1
minister 1
money 1
more 1
morning 1
murderer 1
names 1
nearby 1
next 1
novel 1
of 4
off 1
often 1
on 2
one 2
only 1
onwards 1
organization 1
owner 1
parma 1
parmawho 1
passengers 1
passionel 1
police 1
protection 1
recounting 1
refused 1
return 1
romanticand 1
rome 1
ruffling 1
running 1
salvatore 1
saturday 1
sawnoff 1
seems 1
seen 1
sees 1
senator 1
shot 2
shotgun 1
should 1
sicilians 1
sicily 3
small 4
soon 1
sounds 1
square 1
stashed 1
stop 1
take 2
taken 1
than 1
that 7
the 21
their 1
think 1
thinking 1
three 1
time 1
to 9
towards 1
town 2
trap 1
traps 1
twice 1
up 1
use 1
uses 1
using 1
very 2
warned 1
was 2
what 1
which 2
who 1
whose 1
with 3
would 2
