12006518
/m/02vlqm1
/m/02vlqm1
Jacqueline Wilson
2000-03-02
a 12
about 3
accompanied 1
after 2
alexander 3
all 1
allowed 1
always 2
and 9
anxious 1
anything 1
appears 1
argue 1
arranges 1
as 1
at 3
attends 1
away 1
back 1
bagley 1
because 1
before 1
blue 1
both 1
boy 1
boys 1
burly 1
but 3
by 1
cam 3
cancel 1
care 1
carly 3
choosing 1
christened 1
class 1
classmates 1
comes 1
complete 1
dad 2
dares 1
day 2
days 1
decides 1
discovers 1
do 1
does 1
emesis 1
eventually 2
exclude 1
excluded 1
expensive 1
family 1
feeble 1
feels 1
few 1
following 1
football 4
for 3
forever 1
friends 1
frightened 1
from 1
get 1
ghastly 1
gifts 1
go 1
goes 1
going 2
hangs 1
has 7
hates 2
have 1
he 2
hellbent 1
her 19
herself 2
him 4
his 1
hollywood 1
home 1
hours 2
house 2
however 2
in 1
including 2
instead 1
is 10
karaoke 1
keeps 1
large 1
leave 1
leaves 2
leaving 1
left 1
like 1
little 1
live 2
local 1
losing 1
man 1
match 1
meet 1
most 1
mother 4
movie 1
mrs 1
mum 5
never 1
new 2
night 1
not 1
obviously 1
of 4
often 1
on 5
one 2
only 1
opposite 1
out 1
own 2
passionate 1
planning 1
plans 1
play 1
problems 1
promising 1
pub 1
purpose 1
remembering 1
remembers 1
rumors 1
runs 1
saying 1
says 1
school 2
second 1
secret 2
she 14
showers 1
spend 1
spread 1
star 1
stay 2
strong 1
suddenly 1
take 1
taken 1
teacher 1
that 2
the 4
their 1
there 1
they 2
this 1
time 1
to 13
tracy 14
tree 1
two 1
underwear 1
upset 1
used 1
very 1
wants 1
was 1
weekend 2
were 1
what 1
when 4
where 3
whereas 1
while 1
who 3
whom 1
with 5
younger 1
