243812
/m/01kbjz
/m/01kbjz
Geoffrey Moore
1991

a 10
according 1
adopters 3
adoption 3
and 10
applicable 1
appropriate 1
are 3
argues 1
as 1
at 1
attempts 1
bandwagon 1
base 1
becomes 1
begins 1
behavior 1
believes 1
best 1
between 3
building 1
builds 1
by 2
can 1
cause 1
change 1
channel 1
chasm 5
choosing 2
closely 1
concept 1
confusion 1
continuous 2
create 1
cross 1
crossing 2
customer 1
customers 1
de 1
described 1
differences 1
different 1
difficult 1
diffusion 1
discontinuous 2
disruptive 1
distribution 1
do 1
each 1
early 6
effect 1
enough 1
enthusiasts 1
everett 1
expectations 1
explore 1
facto 1
failure 1
firm 1
five 1
focus 1
for 3
force 1
from 1
group 3
have 1
he 2
high 1
however 1
if 1
in 2
including 1
innovation 1
innovations 3
innovators 1
is 5
laggards 1
late 1
leading 1
lifecycle 2
main 1
majority 4
making 1
market 1
marketer 1
marketing 2
momentum 1
moore 4
most 2
next 1
not 1
of 6
on 1
one 1
only 1
or 1
original 1
positioning 1
pragmatists 3
pricing 1
product 4
products 1
recognized 1
refers 1
related 1
rogers 1
segments 1
should 1
significant 1
standard 1
step 1
still 1
strategy 1
successful 1
successfully 1
suggest 1
target 1
tech 1
techniques 1
technology 3
that 2
the 21
then 1
theories 1
theory 1
there 1
this 1
those 1
time 1
to 6
transition 1
understanding 1
using 1
very 1
visionaries 3
where 1
which 1
whole 1
with 1
