6478896
/m/0g6w5d
/m/0g6w5d
Bernard Cornwell
1990
{"/m/0hwxm": "Historical novel"}
1820 1
a 3
after 1
along 1
america 1
an 1
and 5
are 1
as 1
asks 1
bar 1
bautista 1
befriended 1
blas 1
bonaparte 1
book 1
by 1
called 1
captaingeneral 1
castineau 1
chile 1
chronologically 1
cochrane 1
colony 1
commonlaw 1
deal 1
disappeared 1
doa 1
don 1
dublin 1
encounter 1
events 1
exiled 1
fallen 1
farm 2
five 1
former 2
friend 1
great 1
harper 1
has 4
have 1
her 1
his 2
husband 1
in 6
is 1
isabella 1
last 1
live 1
lord 1
louisa 1
lucille 1
may 1
miguel 1
mission 1
napoleon 1
navy 1
normandy 1
of 6
officer 1
old 1
on 3
out 1
patrick 1
political 1
put 1
rebellious 1
retired 1
retirement 1
richard 1
rifleman 1
rifles 1
rival 1
royal 1
sail 1
scottish 1
search 1
sends 1
series 1
serving 1
set 1
sharpe 5
south 1
successor 1
the 13
them 1
to 5
two 2
victim 1
visits 1
vivar 2
waterloo 1
way 1
weight 1
while 1
who 2
whom 1
wife 2
with 2
years 1
