3293111
/m/093tl8
/m/093tl8
Randall Garrett

a 19
abandoned 1
above 2
across 1
adopted 1
again 1
albeit 1
aliens 1
all 2
also 1
although 1
always 1
an 4
and 19
any 1
anything 1
appearance 1
appearing 1
appears 2
appointed 1
are 4
around 1
as 10
assassinated 2
at 1
atmosphere 1
autocratic 1
away 1
back 2
backed 1
bank 1
banks 2
be 3
beards 1
because 2
become 1
becomes 1
been 6
before 1
beneficent 1
blue 1
breakdown 1
bred 1
breeding 2
but 6
buy 1
by 7
calibre 1
camp 1
can 1
case 1
cash 1
cause 1
caused 1
causing 1
centuries 1
challenge 1
cobalt 5
collapses 1
come 1
common 1
companionship 1
company 1
competition 1
conditions 1
confronts 1
could 1
council 1
couple 1
created 2
creating 1
cronies 1
crumbles 1
culture 1
del 2
deny 1
descendant 1
destroy 1
destruction 2
did 4
dies 1
direct 1
discount 1
discovered 1
disruption 1
distinctive 1
divine 1
do 4
doing 1
downfall 1
driven 1
earthman 1
earthmen 10
economic 1
encampment 1
encountered 1
encounters 1
enough 1
enter 1
epiphany 1
even 1
ever 1
everything 1
exact 1
executive 1
explained 1
explains 2
far 2
figurehead 1
find 1
finds 1
first 4
float 1
foments 1
food 1
for 9
found 1
fractured 1
friends 1
from 3
funds 1
gang 1
get 2
glow 1
glut 1
going 1
gone 1
grandfather 1
great 1
had 6
happened 1
happens 1
has 5
hated 1
have 3
he 13
heretical 1
high 1
him 4
himself 2
his 8
history 1
holds 1
hormone 1
hostile 1
how 2
however 2
humans 5
ideal 1
if 1
in 11
indeed 1
inkling 1
instance 1
instead 1
institutions 1
intelligent 2
interactions 1
into 2
is 17
it 10
its 1
itself 2
just 2
kicked 1
kicking 1
killing 1
kind 1
knew 1
know 1
knows 1
kris 6
lacked 1
law 2
lawgiver 1
lead 1
leader 3
let 1
life 1
lifts 1
light 1
like 2
locked 1
long 1
look 1
main 1
making 1
marry 1
mass 1
meet 2
merchants 1
metal 1
minor 1
money 1
more 2
mother 1
motivated 1
mountains 1
movement 1
multiplying 1
must 2
need 1
never 2
new 4
nidor 8
nidorian 5
nidorians 4
no 2
nominates 1
norvis 15
not 4
notes 1
nothing 1
novel 1
now 1
of 21
off 2
officer 1
old 1
on 2
one 2
opens 1
opposition 1
or 1
other 3
out 4
outwardlooking 1
over 1
overnight 1
own 1
paper 1
partly 1
party 3
pefenn 2
pekym 5
person 1
persuade 1
peych 2
place 2
plan 1
planet 2
planted 1
precious 1
prepares 1
previous 1
priests 1
problems 2
process 1
program 1
progressively 1
promised 1
proved 1
provide 1
pulls 1
pyrrhic 1
quest 1
radical 1
rare 1
realizes 1
really 2
rebuilding 1
rediscovered 1
refuse 1
regional 1
religious 2
remnants 1
removes 1
reserves 2
responsible 2
restore 1
result 3
results 1
returns 2
revenge 1
revolutionary 1
rid 1
riot 1
riots 1
rises 1
rising 1
robbing 1
role 1
ruin 1
ruining 1
rumor 2
sacked 1
sacking 1
saw 1
scheme 1
school 5
scrip 1
sects 2
see 1
sees 1
sets 1
she 1
shock 1
shocked 1
shown 1
significant 1
simply 1
sky 1
smith 6
so 3
society 4
something 1
space 1
spaceship 1
species 2
spreads 1
stand 1
stars 1
starting 2
starvation 1
stasis 1
static 1
steep 1
still 1
stimulating 1
students 1
succeed 1
successful 1
sun 1
surface 2
surrounded 1
tactic 1
taken 1
tell 1
telling 1
temple 1
that 8
the 67
theft 1
their 2
them 1
then 2
there 3
they 17
thing 1
things 1
this 2
thought 1
through 1
thus 1
time 1
to 23
together 1
told 1
traumatic 1
trying 1
two 1
unprecedented 1
until 2
up 2
use 2
victory 1
vyless 1
waiting 1
wants 1
was 6
watch 1
ways 1
weapon 1
wearing 1
what 4
when 4
where 2
which 2
while 1
who 4
will 4
with 6
won 1
world 1
worlds 1
worse 1
worthless 2
would 5
years 1
yorgen 1
you 1
