1064385
/m/042vzk
/m/042vzk
Bruce Chatwin
1982
a 3
again 1
alive 1
all 1
also 1
amos 3
an 2
and 13
anger 1
appearance 1
are 4
area 1
army 1
around 1
as 4
at 2
attacks 1
attitude 1
back 1
be 2
because 1
become 1
benjamin 3
black 2
bond 1
book 1
border 2
both 2
break 1
brecknockshire 1
brothers 1
brutalised 1
brutality 1
but 1
by 3
called 1
caring 1
central 1
characters 1
chatwin 1
confusion 1
constantly 1
cultural 1
culturally 1
daughter 1
daytoday 1
develop 1
does 1
dominant 1
drawn 1
early 1
economic 1
education 1
efforts 1
either 1
england 2
era 1
express 1
family 2
fanaticism 1
farm 1
farmhouse 1
farming 1
father 1
feeling 1
feels 2
fields 1
finds 1
flashback 1
forced 1
forces 1
free 1
frustrated 1
great 1
green 1
has 2
hate 1
he 5
head 1
heights 1
her 2
herefordshire 1
hill 1
hills 1
him 1
his 10
historic 1
hits 1
house 1
household 1
how 1
in 11
inability 1
indefinable 1
intelligence 1
into 2
intuitive 1
involved 1
irishman 1
is 13
isolated 1
jealous 1
job 1
jones 2
land 1
later 1
latter 1
lewis 3
limited 1
lives 1
looked 2
love 2
loving 1
man 2
mary 1
material 1
mentioned 1
more 1
mother3s 1
near 1
not 1
novel 5
of 12
on 3
once 1
one 3
or 2
other 1
out 3
over 1
pages 1
part 1
portrayed 1
portrays 2
pregnant 1
pressure 1
radnorshire 1
reader 1
reading 1
rebecca 1
religious 2
repression 2
results 1
runs 1
see 1
seems 1
setting 1
sexual 1
she 3
shown 2
shows 2
side 1
social 3
special 1
story 1
stronger 1
such 1
supposed 1
surname 1
tasks 1
technique 1
tells 1
temple 1
that 5
the 43
their 1
themes 1
there 1
things 1
this 3
threatened 1
through 2
throughout 1
throwing 1
tie 1
ties 1
time 2
to 6
told 2
twin 2
twins 2
two 1
unbreakable 1
unrequited 1
until 1
upland 1
values 1
very 3
vision 1
wales 2
wants 1
war 1
we 2
welshmen 1
when 2
whereas 1
which 2
while 1
who 1
wife 2
windows 1
with 3
wuthering 1
