3989528
/m/0bb9wg
/m/0bb9wg
Cameron Dokey
2001-12-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 5
after 1
amulet 2
an 3
and 4
angel 1
anxious 1
are 3
at 2
awakens 1
be 2
being 1
belongs 1
beyond 1
burning 1
charismatic 1
club 1
comes 1
connected 1
cordy 1
dead 1
death 1
disappears 1
doyle 3
engraved 1
familiar 1
fear 1
finds 1
fire 1
friends 1
from 1
he 2
helping 1
her 1
herself 1
him 2
his 3
images 1
investigating 1
invites 1
is 2
la 1
latest 1
man 1
meanwhile 1
meet 1
meeting 1
miller 1
murderer 1
named 1
new 1
newfound 1
not 1
of 2
old 1
ornately 1
powers 1
recognition 1
saying 1
seems 2
sees 1
several 1
shy 1
small 1
soon 1
specific 1
suddenly 1
supermarket 1
team 1
terri 3
thankyou 1
that 2
the 3
to 5
too 1
town 1
very 1
victims 1
vision 1
when 2
which 1
who 2
with 1
without 1
woman 2
young 1
