427283
/m/02768r
/m/02768r
Qian Zhongshu
1947
130s 1
137 1
20s 1
a 13
abroad 1
after 4
along 1
also 1
american 1
an 1
and 11
another 2
are 1
arranged 2
at 4
attempt 1
attending 1
attitude 1
balding 1
became 2
been 2
before 1
being 1
board 1
boat 2
bought 1
bumbling 1
but 2
by 2
centers 1
chiming 1
china 2
chinese 2
choosy 1
clock 1
completing 1
contact 1
could 1
country 1
courts 1
cousin 1
credentials 1
decided 1
degree 4
desperate 1
died 1
disastrous 1
disembarked 2
doctor 1
during 1
embrace 1
ends 1
europe 2
everyman 1
failed 1
fake 3
family 1
fang 9
fellow 1
fiancee 1
finding 1
first 1
follows 2
for 1
former 1
from 2
gentleman 1
getting 1
graduating 1
had 2
has 1
he 8
her 6
him 3
his 7
home 2
hong 1
however 2
hungchien 1
in 6
inlaws 1
intended 1
intimate 1
into 1
irishman 1
is 3
it 2
job 1
keep 1
kong 1
ladies 1
lady 1
late 1
learning 1
leaving 1
line 1
listens 1
literature 1
marriage 2
matchmaking 1
means 1
men 1
met 1
middleaged 1
misadventures 1
miss 8
money 1
more 1
must 1
new 1
novel 2
occupied 1
of 6
on 3
one 2
other 1
out 1
pallid 1
pao 3
parents 1
part 2
post 1
pressured 1
pretty 1
pursued 1
pursuing 1
quite 1
reached 1
realised 1
return 1
returning 1
run 1
second 1
section 1
secures 1
securing 1
see 1
sessions 1
set 2
several 1
shanghai 1
she 2
slightly 1
some 1
son 1
still 1
students 1
studied 1
studying 1
style 1
su 4
success 1
suitor 1
tang 1
tanned 1
teaching 1
tended 1
the 15
then 1
they 1
thin 1
third 1
time 1
to 6
towards 2
traveler 1
two 1
unattached 1
universities 1
university 2
used 2
visiting 1
voluptuous 1
voyage 1
was 5
wastes 1
went 1
when 2
where 3
while 3
who 2
wife 2
with 5
without 1
year 1
young 2
